AGENCY_NAME,FACILITY_NAME,PERMIT_NUMBER,PDF_File,Shared_PDF,Comminution,Primary Clarification,Secondary Clarification,Chemical Precipitation,Unspecified Clarification,Screening/Microstrainer,Grit Removal,Equalization,Flotation,SBR,Oxidation Ditch,Pure Oxygen,Extended Aeration,Stepfeed,Unspecified AS,Facultative Lagoon,Aerated Lagoon,Anaerobic Lagoon,Polishing Lagoon,Stabilization Pond,Unspecified Lagoon,AO,A2O,MLE,UCT,Four Stage Bardenpho,Five Stage Bardenpho,Unspecified BNR,Chemical N Removal,Chemical P Removal,Unspecified Nutrient Removal,Secondary Filtration,Media Filtration,Biologically Active Filtration,Trickling Filter,Rotating Biological Contactor,Anaerobic Filter,Membrane Aerated Biofilm Reactor,Unspecified FFR,Nanofiltration,Electrodialysis Reversal,Electrodialysis,Reverse Osmosis,Ultrafiltration,Microfiltration,Membrane Bioreactor,Unspecified Membrane Process,Unspecified Filtration,Wetland,UV-AOP,Coagulation,Flocculation,Ion Exchange,Activated Carbon,Chlorination,Dechlorination,UV Disinfection,Ozonation,Thermal Disinfection,Unspecified Disinfection,Alum Addition,Ferric Chloride Addition,Polymer Addition,Lime Addition,Neutralization,Unspecified Chemical Addition,Anaerobic Digestion,Aerobic Digestion,Unspecified Digestion,Mechanical Dewatering,Centrifuge,Drying,Elutriation,Unspecified Dewatering,Thickening,Land Application,Biosolids Lagoon,Biosolids Landfill,Unspecified Disposal,MHI,FBI,Unspecified Incineration,Cogeneration,Heat Recovery
Ferndale City,Ferndale City POTW,CA0022721,18_0046_Ferndale_NPDES.pdf,No,0,0,0,0,PRESENT,PRESENT,0,PRESENT_AND_FUTURE,0,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0
Forestville Water District,Forestville Water District,CA0023043,2024_0004_forestville_npdes_signed.pdf,No,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0
Fort Bragg City,Fort Bragg City WWTP,,19_0020_FortBragg_NPDES.pdf,No,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,PRESENT,0,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,PRESENT,0,0,0,0,0,PRESENT,0,PRESENT,PRESENT,0,PRESENT,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0
Fortuna City,Fortuna City WWTP,,17_0005_Fortuna_NPDES.pdf,No,0,PRESENT,0,0,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0
Galt City,Galt WWTP & Reclamation Facility,CAC443249,r5-2017-0085-016.pdf,No,0,0,PRESENT,0,PRESENT,PRESENT,PRESENT,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,PRESENT,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0
Goleta SD,Goleta SD WWTP,,R3-2017-021_Goleta_finalCA0048160.pdf,No,0,PRESENT,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0
Grass Valley City,Grass Valley City WWTP,CAG585001,r5-2017-0085-019.pdf,No,0,PRESENT,PRESENT,0,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0
Graton CSD,Graton CSD,CA0023639,18_0001_Graton_NPDES.pdf,No,0,0,0,0,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,PRESENT
Grizzly Lake CSD,Delleker WWTP,CA0081744,R5-2019-0052.pdf,No,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0
Healdsburg City,Healdsburg City WWTP,CA0025135,22_0017_Healdsburg_WWTF_NPDES.pdf,No,PRESENT,0,0,0,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,PRESENT,PRESENT,PRESENT,0,0,PRESENT,PRESENT,0,0,PRESENT,0,0,0,0,0,0
Heber PUD,Heber PUD WWTP,CA0104370,R7-2022-0007.pdf,No,0,0,PRESENT,0,PRESENT,PRESENT,0,0,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,PRESENT,PRESENT,PRESENT,0,PRESENT,0,PRESENT,PRESENT,0,0,PRESENT,0,0,0,0,0,0
Heritage Ranch CSD,Heritage Ranch WWTP,CA0048941,R3-2017-0026 Final.pdf,No,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holtville City,Holtville City WWTP,CA0104361,R7-2022-0005.pdf,No,0,0,PRESENT,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0
Humboldt County Resort Improvement District #1,Shelter Cove POTW,CA0023027,22_0002shltrCvNPDES.pdf,No,0,0,FUTURE,0,PRESENT_AND_FUTURE,0,0,0,0,0,PRESENT_AND_FUTURE,0,PRESENT,0,PRESENT,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,FUTURE,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0
Ironhouse Sanitary District,Ironhouse WWTF,CA0085260,R5-2024-0038.pdf,Yes,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0
Irvine Ranch Water District,Los Alisos WD WWTP,CA8000326,R8-2015-0024_Irvine Ranch Water District.pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,PRESENT,PRESENT,PRESENT,0,0,0,0,PRESENT,0,0,PRESENT,PRESENT,PRESENT,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,PRESENT,0,PRESENT,0,0,0,0,0,0
Irvine Ranch Water District,Michelson WWRF,,R8-2015-0024_Irvine Ranch Water District.pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,PRESENT,PRESENT,PRESENT,0,0,0,0,PRESENT,0,0,PRESENT,PRESENT,PRESENT,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,PRESENT,0,PRESENT,0,0,0,0,0,0
Jackson City,City of Jackson WWTP,CAC455508,r5-2023-0025-002_noa.pdf,No,PRESENT,0,PRESENT,0,PRESENT,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,PRESENT,PRESENT,PRESENT,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0
Joint Outfall System,A.K. Warren Water Resource Facility,CA0053813,Adopted JWPCP PERMIT NPDES CI-1758 05252023.pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,PRESENT,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,PRESENT,0,PRESENT,0,PRESENT,0,PRESENT,0,PRESENT,0,0,PRESENT,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,PRESENT
Los Angeles Cnty Sanitation Districts,A.K. Warren Water Resource Facility,,Adopted JWPCP PERMIT NPDES CI-1758 05252023.pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,PRESENT,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,PRESENT,0,PRESENT,0,PRESENT,0,PRESENT,0,PRESENT,0,0,PRESENT,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,PRESENT
Joint Outfall System,San Jose Creek Water Reclamation Plant,CA0053911,5542_R4-2021-0131_WDR_PKG.pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Angeles Cnty Sanitation Districts,San Jose Creek Water Reclamation Plant,,5542_R4-2021-0131_WDR_PKG.pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joint Outfall System,Pomona Water Reclamation Plant,CA0053619,0755_R4-2021-0097_WDR_PKG.pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Angeles Cnty Sanitation Districts,Pomona Water Reclamation Plant,,0755_R4-2021-0097_WDR_PKG.pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joint Outfall System,Los Coyotes WRP,CA0054011,5059_R4-2021-0142_WDR_PKG (signed).pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Angeles Cnty Sanitation Districts,Los Coyotes WRP,,5059_R4-2021-0142_WDR_PKG (signed).pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joint Outfall System,Long Beach WRP,CA0054119,5662_R4-2022-0032_WDR_PKG.pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Angeles Cnty Sanitation Districts,Long Beach WRP,,5662_R4-2022-0032_WDR_PKG.pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joint Outfall System,Whittier Narrows Water Reclamation Plant,CA0053716,2848_R4-2021-0096_WDR_PKG.pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Angeles Cnty Sanitation Districts,Whittier Narrows Water Reclamation Plant,,2848_R4-2021-0096_WDR_PKG.pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Las Gallinas Valley Sanitary District,Las Gallinas WWTP,CA0037851,R2-2020-0022.pdf,No,0,PRESENT,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,PRESENT,PRESENT,PRESENT_AND_FUTURE,0,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,FUTURE,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,PRESENT,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0
Las Virgenes MWD,Tapia WRF,,4760_R4-2017-0124_WDR_PKG.pdf,No,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,FUTURE,0,FUTURE,0,0,0,0,0,PRESENT,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0
Lathrop City,City of Lathrop Consolidated Treatment Facility,CA0085359,r5-2022-0004-01_npdes.pdf,Yes,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0
Lathrop City,City of Lathrop Consolidated Treatment Facility,CA0085359,r5-2022-0004_npdes.pdf,Yes,0,0,0,0,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,PRESENT,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0
Lincoln City,Lincoln City WWTF,,r5-2024-0024_npdes.pdf,Yes,0,0,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,PRESENT,FUTURE,PRESENT,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,0,0,0,FUTURE,0,0,0,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,PRESENT,0,PRESENT,0,0,0,0,0,0
Lincoln-SMD1 Wastewater Authority,Lincoln City WWTF,CA0084476,r5-2024-0024_npdes.pdf,Yes,0,0,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,PRESENT,FUTURE,PRESENT,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,0,0,0,FUTURE,0,0,0,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,PRESENT,0,PRESENT,0,0,0,0,0,0
Linda Cnty Water District,Linda Cnty Water District WWTP,CA0079651,r5-2022-0070_npdes.pdf,No,0,PRESENT_AND_FUTURE,PRESENT,0,PRESENT_AND_FUTURE,PRESENT,FUTURE,PRESENT_AND_FUTURE,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,0,0,0,0,PRESENT,0,PRESENT,PRESENT,0,PRESENT_AND_FUTURE,0,0,0,0,PRESENT_AND_FUTURE,PRESENT,0,0,0,0,0,0
Live Oak City,Live Oak City WWTP,CAC444735,R5-2017-0085-018.pdf,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Livermore City,City of Livermore Water Reclamation Plant,CA0038008,City of Livermore - R2-2022-2025.pdf,No,0,PRESENT,PRESENT,0,PRESENT,PRESENT,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lodi City,White Slough Water Pollution Control Facility,,R5-2023-0025-010.pdf,Yes,0,PRESENT,PRESENT,0,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,0,PRESENT,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loleta CSD,Loleta WWTF,CA0023671,20_0002_Loleta_CSD_WDR and Recycling NPDES.pdf,No,0,0,PRESENT,0,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,PRESENT,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0
Lompoc City,Lompoc City Regional Wastewater Reclamation Plant,CA0048127,lompoc_finalorder.pdf,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT,PRESENT,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0
Los Angeles City Bureau of Sanitation,Hyperion WWTP,CA0109991,Hyperion NPDES CA0109991 CI-1492_FINAL+SIGNED.pdf,No,0,PRESENT_AND_FUTURE,PRESENT,PRESENT,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,PRESENT,0,0,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT_AND_FUTURE,0,PRESENT,PRESENT_AND_FUTURE,0,0,0,0,PRESENT,PRESENT,0,0,0,0,FUTURE,0,0,FUTURE,0,PRESENT,PRESENT,0,0,PRESENT,PRESENT,0,PRESENT,0,PRESENT,0,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0
Los Angeles City Bureau of Sanitation,Donald C. Tillman WWRP,CA0056227,Adopted DCTWRP NPDES CI-5695_01242023.pdf,No,0,PRESENT,PRESENT_AND_FUTURE,0,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,PRESENT,PRESENT_AND_FUTURE,0,0,0,0,0,0,PRESENT,0,0,0,0,0,PRESENT,0,0,PRESENT,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,PRESENT_AND_FUTURE,PRESENT,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Angeles City Bureau of Sanitation,Terminal Island Water Reclamation Plant,CA0053856,TIWRP Adopted Permit 06102021_signed.pdf,No,0,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,0,0,0,0,0,0,PRESENT_AND_FUTURE,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRESENT,0,PRESENT,0,0,0,0,0,0,0,0,0,PRESENT,0,0,0,0,PRESENT,PRESENT,0,0,0,0,0,FUTURE,0,FUTURE,0,0,0,0,0,0,PRESENT,0,0,0,0,0,0,0,0
