Facility/Project Name,CWNS Number,Cat. I ON,Cat. II ON,All Cat. III ON,All Cat. IV ON,Cat. V ON,All Cat VI ON,Cat. X ON,Total ON,Existing Total Flow (Mgal/d),Present Design Total Flow (Mgal/d),Projected Design Total Flow (Mgal/d),Present Residential Receiving Collection Population,Present Residential Upstream Collection Population,Present Residential Onsite Wastewater Treatment Systems Population,Present Residential Clustered Systems Population,Present Residential Total Receiving Treatment Population,Projected Residential Receiving Collection Population,Projected Residential Upstream Collection Population,Projected Residential Onsite Wastewater Treatment Systems Population,Projected Residential Clustered Systems Population,Projected Residential Total Receiving Treatment Population,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
JAMESVILLE WWTP,37005907001,,,,"$3,810,928",,,,"$3,810,928",.041,.15,.15,475,,,,475,875,,,,875,NC0035858,Discharge,"JAMESVILLE, TOWN OF",Martin,Lower Roanoke,03010107,1st Congressional District,NC,4,MAP
ROBERSONVILLE WWTP,37005910001,,"$2,229,794","$1,060,025",,,,,"$3,289,819",.5,1.8,1.8,"2,500",460,,,"2,960","3,107",730,,,"3,837",NC0026042,Discharge,"ROBERSONVILLE, TOWN OF",Martin,Lower Tar,03020103,1st Congressional District,NC,4,MAP
HAMILTON WWTP,37005911001,"$2,064,143",,"$78,784",,,,,"$2,142,927",.053,.08,.15,519,,,,519,755,,,,755,NC0044776,Discharge,Town of Hamilton,Martin,Lower Roanoke,03010107,1st Congressional District,NC,4,MAP
MCALPINE CREEK WWTP,37006001002,,"$32,097,654","$64,550,249","$159,836,789",,,,"$256,484,692",28.68,64,64,"194,973","35,695",,,"230,668","290,768","29,795",,,"320,563",NC0024970,Discharge,CHARLOTTE-MECKLENBURG UTI,Mecklenburg,Lower Catawba,03050103,9th Congressional District,NC,4,MAP
IRWIN CREEK WWTP,37006001003,,"$33,538,570","$34,009,831","$17,744,048",,,,"$85,292,449",11.48,15,15,"77,453",,,,"77,453","92,404",,,,"92,404",NC0024945,Discharge,CHARLOTTE-MECKLENBURG UTI,Mecklenburg,Lower Catawba,03050103,12th Congressional District,NC,4,MAP
SUGAR CREEK WWTP,37006001005,,"$95,199,853","$20,171,986","$69,925,390",,,,"$185,297,229",13.3,20,28,"114,277",,,,"114,277","175,000",,,,"175,000",NC0024937,Discharge,CHARLOTTE-MECKLENBURG UTI,Mecklenburg,Lower Catawba,03050103,9th Congressional District,NC,4,MAP
MCDOWELL CK WWTP,37006001008,,"$60,351,445",,"$30,039,489",,,,"$90,390,934",4.11,6,12,"5,004","49,530",,,"54,534","11,917","52,630",,,"64,547",NC0036277,Discharge,CHARLOTTE-MECKLENBURG UTI,Mecklenburg,Upper Catawba,03050101,9th Congressional District,NC,4,MAP
MALLARD CREEK WWTP,37006001009,,"$26,234,615","$6,051,701","$6,463,730",,,,"$38,750,046",1.63,6,6,"17,208",,,,"17,208","38,422",,,,"38,422",NC0030210,Discharge,CHARLOTTE-MECKLENBURG UTI,Mecklenburg,Rocky,03040105,8th Congressional District,NC,4,MAP
Long Creek WWTP,37006001010,,"$185,828,522",,,,,,"$185,828,522",,,11,"15,000",,,,"15,000","50,000",,,,"50,000",,,Charlotte Mecklenburg Utilities Department,Mecklenburg,Upper Catawba,03050101,9th Congressional District,NC,4,MAP
BAKERSVILLE WWTP,37006101001,,,,,,,,,.055,.2,.2,355,,,,355,404,,,,404,NC0025461,Discharge,"BAKERSVILLE, TOWN OF",Mitchell,Nolichucky,06010108,10th Congressional District,NC,4,MAP
SPRUCE PINE WWTP,37006102001,,,,,,,,,.39,2,2,"2,038",,,,"2,038","2,250",,,,"2,250",NC0021423,Discharge,"SPRUCE PINE, TOWN OF",Mitchell,Nolichucky,06010108,10th Congressional District,NC,4,MAP
TROY WWTP,37006201001,,"$3,497,079",,,,,,"$3,497,079",.88,1.2,2,"4,205",,,,"4,205","5,240","3,550",,,"8,790",NC0028916,Discharge,"TROY, TOWN OF",Montgomery,Upper Pee Dee,03040104,8th Congressional District,NC,4,MAP
BISCOE WWTP,37006202001,,,,"$2,400,091",,,,"$2,400,091",.25,.6,,"1,737",,,,"1,737","2,300",,,,"2,300",NC0021504,Discharge,"BISCOE, TOWN OF",Montgomery,Upper Pee Dee,03040104,8th Congressional District,NC,4,MAP
CANDOR WWTP,37006203001,,,"$47,625",,,,,"$47,625",.12,.2,.2,887,,,,887,"1,020",,,,"1,020",,,"CANDOR, TOWN OF",Montgomery,Upper Pee Dee,03040104,8th Congressional District,NC,4,MAP
MOUNT GILEAD WWTP,37006204001,"$188,050","$77,281",,"$744,471",,,,"$1,009,802",.76,.85,.85,"1,300",,,,"1,300","1,428",,,,"1,428",NC0021105,Discharge,"MOUNT GILEAD, TOWN OF",Montgomery,Upper Pee Dee,03040104,8th Congressional District,NC,4,MAP
STAR WWTP,37006205001,,,,"$1,243,558",,,,"$1,243,558",.25,.6,,808,,,,808,"1,250",,,,"1,250",NC0058548,Discharge,"STAR, TOWN OF",Montgomery,Upper Pee Dee,03040104,8th Congressional District,NC,4,MAP
ROBBINS WWTP,37006302001,,,,,,,,,.98,1.3,1.3,"1,275",,,,"1,275","1,325",,,,"1,325",NC0062855,Discharge,"ROBBINS, TOWN OF",Moore,Deep,03030003,6th Congressional District,NC,4,MAP
VASS WWTP,37006304002,,,,"$3,092,221",,,,"$3,092,221",.04,.06,,754,,,,754,900,,,,900,NC0074373,Discharge,Moore County Public Utilities,Moore,Upper Cape Fear,03030004,6th Congressional District,NC,4,MAP
MOORE CO REGIONAL WWTP (ADDOR),37006313001,,"$37,563,199",,"$1,033,503",,,,"$38,596,702",4.9,6.7,10,,"31,506",,,"31,506",,"50,058",,,"50,058",NC0037508,Discharge,BOARD OF COUNTY COMMISSIORS,Moore,Lumber,03040203,6th Congressional District,NC,4,MAP
BAILEY WWTP,37006402001,"$386,513",,,,,,,"$386,513",.07,.043,.09,679,,,,679,"1,114",,,,"1,114",,,"BAILEY, TOWN OF",Nash,Contentnea,03020203,2nd Congressional District,NC,4,MAP
SPRING HOPE WWTP,37006408001,,,"$722,942",,,,,"$722,942",.15,.4,.4,"1,269",,,,"1,269","1,559",,,,"1,559",NC0020061,Discharge,"SPRING HOPE, TOWN OF",Nash,Upper Tar,03020101,2nd Congressional District,NC,4,MAP
J A LOUGHLIN WWTP (Wilmigton North),37006501001,,,,,,,,,7.1,8,16,"62,813",,,,"62,813","180,157",,,,"180,157",NC0023965,Discharge,WILMINGTON DEPT OF PUB W,New Hanover,Northeast Cape Fear,03030007,7th Congressional District,NC,4,MAP
MKEAN MAFFITT WWTP (S),37006501002,,"$111,888,399",,"$112,907,419",,,,"$224,795,818",12.4,12,16,"102,017","2,800","16,000",,"104,817","101,306","3,473","7,248",,"104,779",NC0023973,Discharge,"WILMINGTON, DEPT OF PUB W",New Hanover,Lower Cape Fear,03030005,7th Congressional District,NC,4,MAP
WRIGHTSVILLE BEACH COLL. SYS.,37006502001,"$4,173,689",,"$5,888,877",,,,,"$10,062,566",.573,1.5,1.5,"2,800",,,,"2,800","3,473",,,,"3,473",,,"WRIGHTSVILLE BEACH  ,DEPT",New Hanover,Lower Cape Fear,03030005,7th Congressional District,NC,4,MAP
CAROLINA BEACH WWTP,37006503001,,"$4,545,757",,,,,,"$4,545,757",2.82,3,4.4,"5,796",,,,"5,796","17,555",,,,"17,555",NC0023256,Discharge,"CAROLINA BEACH, TOWN OF",New Hanover,Lower Cape Fear,03030005,7th Congressional District,NC,4,MAP
KURE BEACH WWTP,37006504001,,,,,,,,,.2,.285,.285,694,,387,,694,"1,471",,115,,"1,471",NC0025763,Discharge,"KURE BEACH, TOWN OF",New Hanover,Lower Cape Fear,03030005,7th Congressional District,NC,4,MAP
JACKSON WWTP,37006602001,,,,,,,,,.08,.203,.203,806,,,,806,"1,090",,,,"1,090",,,"JACKSON, TOWN OF",Northampton,Lower Roanoke,03010107,1st Congressional District,NC,4,MAP
CONWAY WWTP,37006604001,"$66,938",,"$2,023,125",,,,,"$2,090,063",.05,.15,.15,691,,,,691,880,,,,880,,,"CONWAY, TOWN OF",Northampton,Meheriin,03010204,1st Congressional District,NC,4,MAP
RICH SQUARE WWTP,37006606001,,,"$1,643,516",,,,,"$1,643,516",.13,.15,.15,"1,387",,,,"1,387","1,584",,,,"1,584",NC0025437,Discharge,"RICH SQUARE, TOWN OF",Northampton,Roanoke Rapids,03010106,1st Congressional District,NC,4,MAP
SEABOARD WWTP,37006607001,,,"$6,651,137",,,,,"$6,651,137",.06,.134,.134,616,,,,616,756,,,,756,,,"SEABOARD, TOWN OF",Northampton,Meheriin,03010204,1st Congressional District,NC,4,MAP
SEVERN WWTP,37006608001,,,,,,,,,.03,.062,.062,374,,693,,374,724,,331,,724,,,"SEVERN, TOWN OF",Northampton,Lower Roanoke,03010107,1st Congressional District,NC,4,MAP
WOODLAND WWTP,37006609001,,,,,,,,,.08,.185,.185,950,,,,950,"1,190",,,,"1,190",,,"WOODLAND, TOWN OF",Northampton,Meheriin,03010204,1st Congressional District,NC,4,MAP
JACKSONVILLE WWTP,37006701001,,"$53,713,721","$36,297,715","$10,098,403",,,,"$100,109,839",4.31,6,9,"56,141",,,,"56,141","91,000",,,,"91,000",,,"JACKSONVILLE, TOWN OF",Onslow,New,03030001,3rd Congressional District,NC,4,MAP
SWANSBORO WWTP,37006702001,,"$5,006,377",,,,,,"$5,006,377",.254,.3,.6,"1,822",,,,"1,822","2,800",,,,"2,800",,,"SWANSBORO, TOWN OF",Onslow,Bogue-Core Sounds,03020106,3rd Congressional District,NC,4,MAP
HOLLY RIDGE WWTP,37006704001,,,,,,,,,.07,.26,.26,833,,,,833,"1,250",,,,"1,250",,,HOLLY RIDGE,Onslow,Northeast Cape Fear,03030007,3rd Congressional District,NC,4,MAP
RICHLANDS WWTP,37006708001,,,"$2,134,251",,,,,"$2,134,251",.13,.25,.25,"1,200",,,,"1,200","1,555",,,,"1,555",NC0023230,Discharge,"RICHLANDS, TOWN OF",Onslow,New,03030001,3rd Congressional District,NC,4,MAP
HILLSBOROUGH WWTP,37006802001,,"$31,213,330",,"$247,185",,,,"$31,460,515",1.194,1.2,3.2,"8,660",,,,"8,660","21,422",,,,"21,422",NC0026433,Discharge,"HILLSBOROUGH, TOWN OF",Orange,Upper Neuse,03020201,4th Congressional District,NC,4,MAP
MASON FARM WWTP,37006805001,,"$98,442,030","$39,947,245","$33,803,003",,,"$15,308,017","$187,500,295",5.8,12,16,"27,976","18,611",,,"46,587","44,015","18,661",,,"62,676",NC0025241,Discharge,ORANGE WAT AND SEW AUTH,Orange,Haw,03030002,4th Congressional District,NC,4,MAP
BAY RIVER (BAYBORO) M.S.D WWTP,37006903002,,,,,,,,,.28,.5,.5,743,"3,035",,,"3,778","1,142","3,645",,,"4,787",,,BAY RIVER M.S.D.,Pamlico,Pamlico Sound,03020105,3rd Congressional District,NC,4,MAP
ELIZABETH CITY WWTP,37007001001,,,"$1,053,593","$3,900,099",,,,"$4,953,692",3.24,4.5,4.5,"17,200",,,,"17,200","25,897",,,,"25,897",NC0025011,Discharge,"ELIZABETH CITY, CITY OF",Pasquotank,Albemarle,03010205,3rd Congressional District,NC,4,MAP
BURGAW WWTP,37007102001,,"$753,940","$3,135,915","$2,498,169",,,,"$6,388,024",.4,.75,.75,"3,427",,,,"3,427","5,325",,,,"5,325",NC0021113,Discharge,"BURGAW, TOWN OF",Pender,Northeast Cape Fear,03030007,7th Congressional District,NC,4,MAP
TOPSAIL BEACH WWTP,37007103001,"$2,854,668","$412,755",,"$10,820,841",,,,"$14,088,264",,,.75,,,,,,450,,,,450,,,TOWN OF TOPSAIL BEACH,Pender,New,03030001,7th Congressional District,NC,4,MAP
EAST PENDER WWTP,37007104001,,"$56,202,370",,"$39,694,435",,,"$66,233,596","$162,130,401",,,6,,,,,,"35,932",,,,"35,932",,,PENDER COUNTY,Pender,Northeast Cape Fear,03030007,7th Congressional District,NC,4,MAP
WEST PENDER WWTP,37007104002,,"$98,916,171",,"$44,496,069",,,"$70,842,191","$214,254,431",,,6,,,,,,"35,463",,,,"35,463",,,Pender County,Pender,Northeast Cape Fear,03030007,7th Congressional District,NC,4,MAP
SURF CITY WWTP,37007105001,,,,,,,,,.45,.6,.6,"1,401",,,,"1,401","2,400",,,,"2,400",,,Town of Surf City,Pender,Northeast Cape Fear,03030007,7th Congressional District,NC,4,MAP
HERTFORD WWTP,37007201001,"$506,469","$4,283,603","$656,159","$1,410,235",,,"$1,414,737","$8,271,203",.22,.4,.7,"2,080",550,,,"2,630","2,506",942,,,"3,448",NC0021849,Discharge,"HERTFORD, TOWN OF",Perquimans,Albemarle,03010205,1st Congressional District,NC,4,MAP
MINZIES CREEK S.D. WWTP,37007204001,"$4,701,403",,,"$6,648,514",,,,"$11,349,917",,,.5,,,,,,"6,000",,,,"6,000",,,PERQUIMANS COUNTY,Perquimans,Albemarle,03010205,1st Congressional District,NC,4,MAP
ROXBORO WWTP,37007301001,,,,,,,,,3.35,5,5,"8,768",,,,"8,768","11,018",,,,"11,018",NC0021024,Discharge,"ROXBORO, TOWN OF",Person,Lower Dan,03010104,13th Congressional District,NC,4,MAP
GREENVILLE UTILITIES COMM. WWTP,37007401001,,"$12,457,710","$24,339,595","$213,573,367",,,,"$250,370,672",9.5,17.5,17.5,"67,222","2,378",,,"69,600","127,055","2,778",,,"129,833",NC0023931,Discharge,GREENVILLE UTILITIES COMM,Pitt,Lower Tar,03020103,3rd Congressional District,NC,4,MAP
CONTENTNEA MSD WWTP,37007405001,,"$7,464,813",,,,,,"$7,464,813",1.92,2.85,2.85,"11,000","12,389",,,"23,389","12,570","16,086",,,"28,656",NC0032077,Discharge,CONTENTNA METRO SWR DIST,Pitt,Contentnea,03020203,1st Congressional District,NC,4,MAP
FARMVILLE WWTP,37007408003,,,,,,,,,1.86,3.5,3.5,"4,619",693,,,"5,312","4,669","1,120",,,"5,789",NC0029572,Discharge,"FARMVILLE, TOWN OF",Pitt,Contentnea,03020203,3rd Congressional District,NC,4,MAP
TRYON WWTP,37007501001,,,"$962,735",,,,,"$962,735",.41,2.1,2.1,"2,363",,,,"2,363","2,863",,,,"2,863",NC0021601,Discharge,"TRYON, TOWN OF",Polk,Upper Broad,03050105,11th Congressional District,NC,4,MAP
COLUMBUS WWTP,37007502001,"$157,628",,"$1,081,219","$3,231,775",,,,"$4,470,622",.182,.8,.815,"1,058",,,,"1,058","1,808",,,,"1,808",NC0021369,Discharge,"COLUMBUS, TOWN OF",Polk,Upper Broad,03050105,11th Congressional District,NC,4,MAP
SALUDA WWTP,37007503001,,,,,,,,,.07,.1,.1,755,,636,,755,"1,033",,532,,"1,033",NC0028975,Discharge,"SALUDA, TOWN OF",Polk,Upper Broad,03050105,11th Congressional District,NC,4,MAP
ASHEBORO WWTP,37007601001,,,,"$8,507,955",,,,"$8,507,955",4.5,9,9,"23,729",,849,,"23,729","37,820",,849,,"37,820",NC0026123,Discharge,"ASHEBORO, CITY OF",Randolph,Deep,03030003,6th Congressional District,NC,4,MAP
RAMSEUR WWTP,37007602001,,,"$2,343,228",,,,,"$2,343,228",.24,.48,.48,"1,724",,,,"1,724","2,550",,,,"2,550",NC0026565,Discharge,"RAMSEUR, TOWN OF",Randolph,Deep,03030003,6th Congressional District,NC,4,MAP
RANDLEMAN WWTP,37007603001,,,,,,,,,.7,1.745,1.745,"4,300",,"2,800",,"4,300","6,183",,"2,810",,"6,183",NC0025445,Discharge,"RANDLEMAN, CITY OF",Randolph,Deep,03030003,6th Congressional District,NC,4,MAP
LIBERTY WWTP,37007604001,"$307,995",,"$627,929",,,,,"$935,924",.33,.55,.55,"2,800",,,,"2,800","3,200",,,,"3,200",,,"LIBERTY, TOWN OF",Randolph,Deep,03030003,6th Congressional District,NC,4,MAP
ONSLOW CO REG,37007606002,,,,,,,,,,,15,,,,,,,,,,,,,ONSLOW CO REG,Onslow,New,03030001,3rd Congressional District,NC,4,MAP
TRINITY WWTP,37007609111,,"$11,924,825",,"$49,388,650",,,,"$61,313,475",.2,1,1,"1,914",,,,"1,914","6,000",,,,"6,000",,,City of Trinity,Randolph,Deep,03030003,6th Congressional District,NC,4,MAP
FRANKLINVILLE WWTP,37007610001,,"$1,161,939",,,,,,"$1,161,939",.073,.1,.2,843,,,,843,"1,383",,,,"1,383",NC0007820,Discharge,"Franklinville, Town of",Randolph,Deep,03030003,6th Congressional District,NC,4,MAP
SEAGROVE - ULAH S.D. WWTP,37007611001,,"$1,135,558",,"$3,527,419",,,,"$4,662,977",,,.1,,,,,,267,,,,267,,,RANDOLPH COUNTY,Randolph,Upper Pee Dee,03040104,6th Congressional District,NC,4,MAP
HAMLET WWTP,37007701002,"$553,933","$772,930","$2,337,556","$1,045,233",,,,"$4,709,652",.711,1,1,"5,930",300,,,"6,230","6,400","1,101",,,"7,501",NC0047562,Discharge,"HAMLET, TOWN OF",Richmond,Lower Pee Dee,03040201,8th Congressional District,NC,4,MAP
ELLERBE WWTP,37007702001,,"$225,097",,"$422,058",,,,"$647,155",.1,.18,.18,998,,,,998,"1,300",,,,"1,300",NC0021784,Discharge,"ELLERBE, TOWN OF",Richmond,Lower Pee Dee,03040201,8th Congressional District,NC,4,MAP
ROCKINGHAM WWTP,37007705001,,,,,,,,,2.75,6,6,"10,759",,,,"10,759","13,596",,,,"13,596",NC0020427,Discharge,"ROCKINGHAM, CITY OF",Richmond,Lower Pee Dee,03040201,8th Congressional District,NC,4,MAP
LUMBERTON WWTP,37007801001,,,"$4,596,261","$2,111,490","$3,683,875",,,"$10,391,626",5.43,9,9,"21,520",,,,"21,520","29,143",,,,"29,143",NC0024571,Discharge,"LUMBERTON, DEPT OF WASTE",Robeson,Lumber,03040203,7th Congressional District,NC,4,MAP
FAIRMONT REG. WWTP,37007803002,,,,,,,,,.65,1.75,1.75,"2,652",445,,,"3,097","4,875","2,143",,,"7,018",NC0086550,Discharge,Town of Fairmont,Robeson,Lumber,03040203,7th Congressional District,NC,4,MAP
MAXTON WWTP,37007807001,,,,,,,,,.37,.6,.6,"3,135",,,,"3,135","3,350",,,,"3,350",NC0027120,Discharge,"MAXTON, TOWN OF",Robeson,Lumber,03040203,7th Congressional District,NC,4,MAP
PARKTON WWTP,37007808001,,,"$623,000","$3,770,000",,,,"$4,393,000",.07,.2,,349,,,,349,382,,,,382,NC0026921,Discharge,"PARKTON, TOWN OF",Robeson,Lumber,03040203,7th Congressional District,NC,4,MAP
PEMBROKE WWTP,37007809001,,"$1,403,390","$2,212,612","$564,238",,,,"$4,180,240",.59,1.33,1.33,"2,500",,,,"2,500","4,814",,,,"4,814",NC0027103,Discharge,"PEMBROKE, TOWN OF",Robeson,Lumber,03040203,7th Congressional District,NC,4,MAP
RED SPRINGS WWTP,37007812001,,,,"$627,271",,,,"$627,271",1.355,2.5,2.5,"3,497",,,,"3,497","8,495",732,,,"9,227",NC0025577,Discharge,"RED SPRINGS, TOWN OF",Robeson,Lumber,03040203,7th Congressional District,NC,4,MAP
ROWLAND WWTP,37007813001,,,"$201,607",,,,,"$201,607",.25,.387,.387,"1,200",,,,"1,200","1,218",,,,"1,218",NC0069612,Discharge,"ROWLAND, TOWN OF",Robeson,Little Pee Dee,03040204,7th Congressional District,NC,4,MAP
SAINT PAULS WWTP,37007814001,"$179,911",,"$1,773,357","$413,983",,,,"$2,367,251",.19,.5,.5,"2,150",,,,"2,150","3,879",,,,"3,879",NC0020095,Discharge,"SAINT PAULS, TOWN OF",Robeson,Lumber,03040203,7th Congressional District,NC,4,MAP
MEBANE BRIDGE (EDEN) WWTP,37007901001,,,,"$15,727,088",,,,"$15,727,088",6.7,13.5,13.5,"16,000",546,,,"16,546","17,620",679,,,"18,299",NC0025071,Discharge,"EDEN, CITY OF",Rockingham,Upper Dan,03010103,13th Congressional District,NC,4,MAP
DRY CREEK (EDEN) WWTP,37007901003,,,"$425,023",,,,,"$425,023",.22,.5,.5,"2,143",,,,"2,143","2,361",,,,"2,361",NC0025151,Discharge,"EDEN, CITY OF",Rockingham,Upper Dan,03010103,13th Congressional District,NC,4,MAP
REIDSVILLE WWTP,37007902001,,,,"$9,460,691",,,,"$9,460,691",3.54,7.5,7.5,"16,140",,"7,386",,"16,140","24,591",,"2,461",,"24,591",NC0024881,Discharge,"REIDSVILLE, CITY OF",Rockingham,Haw,03030002,13th Congressional District,NC,4,MAP
MAYODAN WWTP,37007904001,,,,"$13,815,823",,,,"$13,815,823",1.333,4.5,4.3,"2,504","3,377",,,"5,881","2,857","3,791",,,"6,648",NC0021873,Discharge,"MAYODAN, TOWN OF",Rockingham,Upper Dan,03010103,13th Congressional District,NC,4,MAP
GRANT CREEK WWTP,37008001002,,,"$1,769,757","$221,220",,,,"$1,990,977",8.16,20,20,"24,600","24,719",,,"49,319","58,883","36,980",,,"95,863",NC0023884,Discharge,"SALISBURY, CITY OF",Rowan,Lower Yadkin,03040103,12th Congressional District,NC,4,MAP
CLEVELAND WWTP,37008004001,"$19,494",,,,,,,"$19,494",.111,.27,.27,808,,,,808,"1,052",,,,"1,052",NC0049867,Discharge,"CLEVELAND, TOWN OF",Rowan,South Yadkin,03040102,12th Congressional District,NC,4,MAP
ROWAN COUNTY SECOND CRK WWTP,37008008001,,,,,,,,,.05,.09,.09,605,,,,605,625,,,,625,NC0078361,Discharge,"FAITH, TOWN OF",Rowan,Lower Yadkin,03040103,12th Congressional District,NC,4,MAP
SPINDALE WWTP,37008101001,,,"$190,207","$586,379",,,,"$776,586",3.56,4.5,4.5,"4,731",,,,"4,731","6,111",,,,"6,111",NC0020664,Discharge,"SPINDALE, TOWN OF",Rutherford,Upper Broad,03050105,11th Congressional District,NC,4,MAP
RUTHERFORDTON WWTP,37008102001,"$862,123",,,"$7,413,246",,,,"$8,275,369",.474,3,3,"4,142",,,,"4,142","4,557",,,,"4,557",NC0025909,Discharge,"RUTHERFORDTON, TOWN OF",Rutherford,Upper Broad,03050105,11th Congressional District,NC,4,MAP
FOREST CITY WWTP,37008106001,,,,"$4,182,309",,,,"$4,182,309",4.143,5,5,"8,615",,,,"8,615","9,113",350,,,"9,463",NC0025984,Discharge,"FOREST CITY, TOWN OF",Rutherford,Upper Broad,03050105,11th Congressional District,NC,4,MAP
LAKE LURE WWTP,37008107001,"$211,592","$1,577,392","$1,662,784",,,,"$695,044","$4,146,812",.85,.995,.995,623,184,,,807,864,225,,,"1,089",NC0025381,Discharge,"LAKE LURE, TOWN OF",Rutherford,Upper Broad,03050105,10th Congressional District,NC,4,MAP
RIVERSTONE INDUS. PARK WWTP,37008108001,,,,"$10,253,186",,,,"$10,253,186",.035,.05,.05,,,,,,,,,,,,,RUTHERFORD COUNTY,Rutherford,Upper Broad,03050105,10th Congressional District,NC,4,MAP
CLIFFSIDE S.D. WWTP,37008110001,,,,,,,,,1.43,1.75,1.75,149,,,,149,160,,,,160,NC0004405,Discharge,CLIFFSIDE S.D.,Rutherford,Upper Broad,03050105,10th Congressional District,NC,4,MAP
CLINTON WWTP,37008201001,,,"$1,890,818","$3,028,685",,,,"$4,919,503",2.22,5,5,"9,391",355,,,"9,746","13,258",355,,,"13,613",NC0020117,Discharge,"CLINTON, WATER AND SEWER",Sampson,Black,03030006,7th Congressional District,NC,4,MAP
GARLAND WWTP,37008204001,,"$1,350,135",,,,,,"$1,350,135",.05,.126,.2,796,,,,796,"1,050",,,,"1,050",NC0025569,Discharge,"GARLAND, TOWN OF",Sampson,Black,03030006,2nd Congressional District,NC,4,MAP
NEWTON GROVE WWTP,37008205001,,,,,,,,,.05,.2,.2,610,,,,610,"1,410",,,,"1,410",NC0072877,Discharge,"NEWTON GROVE, TOWN OF",Sampson,Black,03030006,7th Congressional District,NC,4,MAP
ROSEBORO WWTP,37008206001,,,,,,,,,.21,.49,.49,"1,397",,,,"1,397","1,936",,,,"1,936",NC0026816,Discharge,"ROSEBORO, TOWN OF",Sampson,Black,03030006,2nd Congressional District,NC,4,MAP
SALEMBURG WWTP,37008207001,,,,,,,,,.05,.075,.075,477,,,,477,555,,,,555,,,"SALEMBURG, TOWN OF",Sampson,Black,03030006,7th Congressional District,NC,4,MAP
LEITH CREEK WWTP,37008303001,"$88,682","$1,446,622","$4,587,068",,,,,"$6,122,372",2.2,4,5.5,"15,667",500,,,"16,167","20,164",503,,,"20,667",NC0020656,Discharge,"LAURINBURG, CITY OF",Scotland,Little Pee Dee,03040204,8th Congressional District,NC,4,MAP
LAUR./MAX. AIRPORT WWTP,37008307001,,,,,,,,,.12,3,3,"2,538",,,,"2,538","2,800",,,,"2,800",NC0044725,Discharge,"LAURINBURG, CITY OF",Scotland,Lumber,03040203,8th Congressional District,NC,4,MAP
GIBSON WWTP,37008308001,"$658,765",,"$572,954",,,,,"$1,231,719",.055,.044,.066,582,,,,582,632,,,,632,,,"Gibson, Town of",Scotland,Little Pee Dee,03040204,8th Congressional District,NC,4,MAP
LAURINBURG LIBBEY-OWENS-FORD WWTP,37008313001,,,,,,,,,.027,.03,.03,300,,,,300,325,"1,065",,,"1,390",NC0021661,Discharge,City of Laurinburg,Scotland,Little Pee Dee,03040204,8th Congressional District,NC,4,MAP
ALBEMARLE WWTP,37008401001,,"$22,153,161",,,,,,"$22,153,161",7.5,16,16,"16,042",506,,,"16,548","20,500",636,,,"21,136",NC0024244,Discharge,"ALBEMARLE   ,WATER& SEWER",Stanly,Rocky,03040105,8th Congressional District,NC,4,MAP
GREATER BADIN WWTP,37008401101,,,"$2,413,564",,,,,"$2,413,564",.6,.55,.55,"2,156",516,,,"2,672","2,375",559,,,"2,934",NC0074756,Discharge,BADIN WATER/SEWER AUTH,Stanly,Upper Pee Dee,03040104,8th Congressional District,NC,4,MAP
NORWOOD WWTP,37008402001,,"$1,688,230","$112,549","$4,389,399",,,,"$6,190,178",.29,.75,1,"1,611",,,,"1,611","5,925",,,,"5,925",NC0021628,Discharge,"NORWOOD, TOWN OF",Stanly,Rocky,03040105,8th Congressional District,NC,4,MAP
OAKBORO WWTP,37008405001,,,"$743,811",,,,,"$743,811",.34,.5,.5,"1,547","1,350","1,796",,"2,897","1,802","5,200","1,978",,"7,002",NC0043532,Discharge,"OAKBORO, TOWN OF",Stanly,Rocky,03040105,8th Congressional District,NC,4,MAP
DANBURY WWTP,37008501001,,,,,,,,,.012,.1,.1,129,,,,129,200,,,,200,NC0082384,Discharge,"DANBURY, TOWN OF",Stokes,Upper Dan,03010103,5th Congressional District,NC,4,MAP
WALNUT COVE WWTP,37008504001,,,,,,,,,.09,.5,.5,"1,516",,,,"1,516","2,717",,,,"2,717",NC0025526,Discharge,"WALNUT COVE, TOWN OF",Stokes,Upper Dan,03010103,5th Congressional District,NC,4,MAP
ELKIN WWTP,37008601001,,"$7,373,820",,,,,,"$7,373,820",1,1.8,1.8,"4,036",,,,"4,036","5,365",470,,,"5,835",NC0020567,Discharge,"ELKIN, TOWN OF",Surry,Upper Yadkin,03040101,5th Congressional District,NC,4,MAP
DOBSON WWTP,37008602001,,,,"$10,483,708",,,,"$10,483,708",.208,.35,.35,"1,841",,,,"1,841","2,350",,,,"2,350",NC0021326,Discharge,"DOBSON, TOWN OF",Surry,Upper Yadkin,03040101,5th Congressional District,NC,4,MAP
MT. AIRY WWTP,37008603001,,,,"$3,497,292",,,,"$3,497,292",5.448,7,7,"9,461",,,,"9,461","11,277",710,,,"11,987",NC0021121,Discharge,"MT AIRY, TOWN OF",Surry,Upper Yadkin,03040101,5th Congressional District,NC,4,MAP
PILOT MOUNTAIN WWTP,37008604001,,,,"$7,036,819",,,,"$7,036,819",.67,1.5,1.5,"1,281",,,,"1,281","1,703",,,,"1,703",NC0026646,Discharge,PILOT MOUNTAIN,Surry,Upper Yadkin,03040101,5th Congressional District,NC,4,MAP
