Facility/Project Name,CWNS Number,Cat. I ON,Cat. I UCE,Cat. II ON,Cat. II UCE,All Cat. III ON,All Cat. III UCE,All Cat. IV ON,All Cat. IV UCE,All Cat V ON,All Cat. V UCE,All Cat VI ON,All Cat. VI UCE,Cat. X ON,Cat. X UCE,Cat. XII ODN,Cat. XII UCE,Total ON,Total UCE,Total ODN,Existing Total Flow (Mgal/d),Present Design Total Flow (Mgal/d),Projected Design Total Flow (Mgal/d),Present Residential Receiving Collection Population,Present Residential Upstream Collection Population,Present Residential Onsite Wastewater Treatment Systems Population,Present Residential Clustered Systems Population,Present Residential Total Receiving Treatment Population,Present Residential Downstream Collection Population,Present Residential Actual Receiving Population,Projected Residential Receiving Collection Population,Projected Residential Upstream Collection Population,Projected Residential Onsite Wastewater Treatment Systems Population,Projected Residential Clustered Systems Population,Projected Residential Total Receiving Treatment Population,Projected Residential Downstream Collection Population,Projected Residential Actual Receiving Population,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
MILBURN WWT,40000526001,"$789,573",,,,,,,,,,,,,,,,"$789,573",,,.032,.039,.039,326,,,,326,0,326,410,,,,410,0,410,,,"MILBURN, TOWN OF",Johnston,Blue,11140102,2nd Congressional District,OK,6,MAP
MILL CREEK WWT,40000527001,,,,,,,,,,,,,,,,,,,,.02,.04,.04,340,,,,340,0,340,440,,,,440,0,440,OKG580014,General Permit Covered Facility,"MILL CREEK, TOWN OF",Johnston,Lower Washita,11130304,2nd Congressional District,OK,6,MAP
TISHOMINGO WWT,40000528001,"$2,660,192",,,,"$1,609,636",,,,,,,,,,,,"$4,269,828",,,.4,.44,.88,"3,162",,,,"3,162",0,3162,"4,360",,,,"4,360",0,4360,OK0031992,Individual Permit,"TISHOMINGO, CITY OF",Johnston,Lower Washita,11130304,2nd Congressional District,OK,6,MAP
WAPANUCKA PWA WWT,40000529001,,,,,,,,,,,,,,,,,,,,.04,.045,.045,465,,,,465,0,465,550,,,,550,0,550,OK0034011,Individual Permit,WAPANUCKA PWA,Johnston,Clear Boggy,11140104,2nd Congressional District,OK,6,MAP
BLACKWELL WWT,40000530001,,,,,"$11,526,244",,,,,,,,,,,,"$11,526,244",,,1.03,1.6,1.6,"7,668",,,,"7,668",0,7668,"8,100",,,,"8,100",0,8100,OK0031909,Individual Permit,"BLACKWELL, CITY OF",Kay,Chikaskia,11060005,3rd Congressional District,OK,6,MAP
BRAMAN STP,40000532001,,,,,,,,,,,,,,,,,,,,.02,.03,.03,244,,,,244,0,244,260,,,,260,0,260,,,"BRAMAN, CITY OF",Kay,Chikaskia,11060005,3rd Congressional District,OK,6,MAP
KAW CITY WWT,40000533001,"$19,934",,,,"$425,328",,,,,,,,,,,,"$445,262",,,.04,.05,.05,372,,,,372,0,372,390,,,,390,0,390,OK0028878,Individual Permit,"KAW CITY, CITY OF",Kay,Kaw Lake,11060001,3rd Congressional District,OK,6,MAP
NEWKIRK WWTF,40000536001,,,,,,,,,,,,,,,,,,,,.3,.38,.38,"2,243",,,,"2,243",0,2243,"2,370",,,,"2,370",0,2370,OK0045951,Individual Permit,"NEWKIRK, CITY OF",Kay,Lower Salt Fork Arkansas,11060004,3rd Congressional District,OK,6,MAP
TONKAWA MA WWT,40000538001,,,,,"$4,288,109",,,,,,,,,,,,"$4,288,109",,,.4,.452,.452,"3,299",,,,"3,299",0,3299,"3,490",,,,"3,490",0,3490,OK0021903,Individual Permit,TONKAWA MUNICIPAL AUTHORITY,Kay,Lower Salt Fork Arkansas,11060004,3rd Congressional District,OK,6,MAP
CASHION WWT,40000540001,,,,,,,,,,,,,,,,,,,,.06,.07,.07,635,,,,635,0,635,630,,,,630,0,630,,,"CASHION, TOWN OF",Kingfisher,Lower Cimarron-Skeleton,11050002,3rd Congressional District,OK,6,MAP
DOVER WWT,40000541001,,,,,,,,,,,,,,,,,,,,.04,.04,.04,367,,,,367,0,367,470,,,,470,0,470,,,"DOVER, TOWN OF",Kingfisher,Lower Cimarron-Skeleton,11050002,3rd Congressional District,OK,6,MAP
HENNESSEY WWT,40000542001,"$3,303,325",,"$1,284,627",,,,,,,,,,,,,,"$4,587,952",,,.32,.25,.253,"2,058",,,,"2,058",0,2058,"2,660",,,,"2,660",0,2660,OK0030201,Individual Permit,"HENNESSEY, TOWN OF",Kingfisher,Lower Cimarron-Skeleton,11050002,3rd Congressional District,OK,6,MAP
GOTEBO WWT,40000546001,,,,,,,,,,,,,,,,,,,,.03,.03,.03,272,,,,272,0,272,270,,,,270,0,270,,,"GOTEBO, CITY OF",Kiowa,Upper Washita,11130302,3rd Congressional District,OK,6,MAP
HOBART PWA WWT,40000547001,,,,,,,,,,,,,,,,,,,,.4,.46,.46,"3,997",,,,"3,997",0,3997,"3,870",,,,"3,870",0,3870,OK0028649,Individual Permit,HOBART PUBLIC WORKS AUTHORITY,Kiowa,Lower North Fork Red,11120303,3rd Congressional District,OK,6,MAP
LONE WOLF WWT,40000548001,,,,,,,,,,,,,,,,,,,,.05,.05,.05,500,,,,500,0,500,490,,,,490,0,490,,,LONE WOLF PWA,Kiowa,Lower North Fork Red,11120303,3rd Congressional District,OK,6,MAP
ROOSEVELT PWA WWT,40000549001,,,,,,,,,,,,,,,,,,,,.03,.03,.03,280,,,,280,0,280,270,,,,270,0,270,,,ROOSEVELT PWA,Kiowa,Lower North Fork Red,11120303,3rd Congressional District,OK,6,MAP
MOUNTAIN VIEW PWA WWT,40000550001,,,,,,,,,,,,,,,,,,,,.09,.09,.09,880,,,,880,0,880,850,,,,850,0,850,OKG580048,General Permit Covered Facility,MOUNTAIN VIEW PWA,Kiowa,Upper Washita,11130302,3rd Congressional District,OK,6,MAP
RED OAK PWA WWT,40000553001,,,,,,,,,,,,,,,,,,,,.06,.09,.09,581,,,,581,0,581,620,,,,620,0,620,OK0031631,Individual Permit,RED OAK PWA,Latimer,Poteau,11110105,2nd Congressional District,OK,6,MAP
WILBURTON PWA WWT,40000554001,,,,,"$3,881,711",,,,,,,,,,,,"$3,881,711",,,.5,.9,.9,"3,000",,,,"3,000",0,3000,"3,280",,,,"3,280",0,3280,OK0021881,Individual Permit,WILBURTON PWA,Latimer,Poteau,11110105,2nd Congressional District,OK,6,MAP
COUNCIL HILL WWT,40000562807,"$434,807",,,,,,,,,,,,,,,,"$434,807",,,.01,.01,.016,158,,,,158,0,158,165,,,,165,0,165,,,"COUNCIL HILL, TOWN OF",McIntosh,Deep Fork,11100303,2nd Congressional District,OK,6,MAP
LINCOLN CO RSD #4 (AGRA) WWT,40000569001,,,,,,,,,,,,,,,,,,,,.03,.04,.04,356,,,,356,0,356,440,,,,440,0,440,,,"Lincoln CO. RSD #4, Agra",Lincoln,Lower Cimarron,11050003,3rd Congressional District,OK,6,MAP
CARNEY PU WWT,40000570001,,,,,,,,,,,,,,,,,,,,.08,.105,.105,649,,,,649,0,649,790,,,,790,0,790,OK0028321,Individual Permit,CARNEY PUBLIC UTILITIES,Lincoln,Deep Fork,11100303,3rd Congressional District,OK,6,MAP
CHANDLER MA WWT,40000571001,,,,,,,,,,,,,,,,,,,,.8,.8,.8,"2,842",,,,"2,842",0,2842,"3,470",,,,"3,470",0,3470,OK0027120,Individual Permit,CHANDLER MUNICIPAL AUTHORITY,Lincoln,Deep Fork,11100303,3rd Congressional District,OK,6,MAP
DAVENPORT UA WWT,40000572001,,,,,,,,,,,,,,,,,,,,.09,.115,.115,881,,,,881,0,881,"1,080",,,,"1,080",0,1080,OKG580042,General Permit Covered Facility,DAVENPORT UTILITY AUTHORITY,Lincoln,Deep Fork,11100303,3rd Congressional District,OK,6,MAP
KENDRICK WWT,40000573001,,,,,,,,,,,,,,,,,,,,.014,.06,.06,138,,,,138,0,138,170,,,,170,0,170,,,"KENDRICK, CITY OF",Lincoln,Deep Fork,11100303,3rd Congressional District,OK,6,MAP
MEEKER WWT,40000574001,,,,,,,,,,,,,,,,,,,,.1,.2,.2,978,,,,978,0,978,"1,200",,,,"1,200",0,1200,OK0026883,Individual Permit,"MEEKER, TOWN OF",Lincoln,Deep Fork,11100303,3rd Congressional District,OK,6,MAP
PRAGUE WWT,40000575001,,,,,,,,,,,,,,,,,,,,.21,.25,.25,"2,138",,,,"2,138",0,2138,"2,610",,,,"2,610",0,2610,OK0027740,Individual Permit,"PRAGUE, CITY OF",Lincoln,Lower North Canadian,11100302,3rd Congressional District,OK,6,MAP
TRYON UA WWT,40000577001,,,,,,,,,,,,,,,,,,,,.04,.061,.061,448,,,,448,0,448,550,,,,550,0,550,OKG580029,General Permit Covered Facility,TRYON UTILITY AUTHORITY,Lincoln,Lower Cimarron,11050003,3rd Congressional District,OK,6,MAP
WELLSTON PWA WWT,40000579001,,,,,,,,,,,,,,,,,,,,.09,.12,.12,825,,,,825,0,825,"1,010",,,,"1,010",0,1010,OK0032476,Individual Permit,WELLSTON PWA,Lincoln,Deep Fork,11100303,3rd Congressional District,OK,6,MAP
COYLE WWT,40000580001,,,,,,,,,,,,,,,,,,,,.04,.04,.04,337,,,,337,0,337,450,,,,450,0,450,,,"COYLE, TOWN OF",Logan,Lower Cimarron,11050003,3rd Congressional District,OK,6,MAP
CRESCENT WWT,40000581001,,,,,"$727,349",,,,,,,,,,,,"$727,349",,,.13,.13,.13,"1,281",,,,"1,281",0,1281,"1,730",,,,"1,730",0,1730,,,"CRESCENT, CITY OF",Logan,Lower Cimarron-Skeleton,11050002,3rd Congressional District,OK,6,MAP
LANGSTON WWT,40000582001,,,,,,,,,,,,,,,,,,,,.2,.2,.2,"1,670",,,,"1,670",0,1670,"2,140",,,,"2,140",0,2140,OK0027511,Individual Permit,LANGSTON PWA,Logan,Lower Cimarron,11050003,3rd Congressional District,OK,6,MAP
MULHALL WWT,40000584001,,,,,,,,,,,,,,,,,,,,.02,.03,.03,239,,,,239,0,239,320,,,,320,0,320,,,"MULHALL, CITY OF",Logan,Lower Cimarron,11050003,3rd Congressional District,OK,6,MAP
ORLANDO WWT,40000585001,,,,,,,,,,,,,,,,,,,,.02,.02,.02,201,,,,201,0,201,270,,,,270,0,270,,,"ORLANDO, CITY OF",Logan,Lower Cimarron,11050003,3rd Congressional District,OK,6,MAP
LOGAN CO. #1 (GREEN OAKS) WWT,40000586001,,,,,,,,,,,,,,,,,,,,.1,.11,.11,"1,089",,,,"1,089",0,1089,"1,089",,,,"1,089",0,1089,,,LOGAN CO. RWD NO. 1,Logan,Lower Cimarron-Skeleton,11050002,3rd Congressional District,OK,6,MAP
BLANCHARD WWT,40000593001,"$1,648,240",,,,,,,,,,,,,,,,"$1,648,240",,,.4,.4,.5,"3,040",,,,"3,040",0,3040,"4,360",,,,"4,360",0,4360,,,"BLANCHARD, CITY OF",McClain,Lower Canadian-Walnut,11090202,4th Congressional District,OK,6,MAP
DIBBLE WWT,40000596001,,,,,,,,,,,,,,,,,,,,.03,.03,.03,320,,,,320,0,320,430,,,,430,0,430,,,"DIBBLE, TOWN OF",McClain,Lower Canadian-Walnut,11090202,4th Congressional District,OK,6,MAP
NEWCASTLE PWA WWT,40000598001,,,,,,,,,,,,,,,,,,,,.54,.54,.54,"5,940",,,,"5,940",0,5940,"8,030",,,,"8,030",0,8030,OK0028614,Individual Permit,NEWCASTLE PWA,McClain,Lower Canadian-Walnut,11090202,4th Congressional District,OK,6,MAP
PURCELL WWT,40000599001,,,,,"$8,611,887",,,,,,,,,,,,"$8,611,887",,,.55,.65,.65,"6,090",,,,"6,090",0,6090,"8,230",,,,"8,230",0,8230,OK0028533,Individual Permit,"PURCELL, CITY OF",McClain,Lower Canadian-Walnut,11090202,4th Congressional District,OK,6,MAP
WASHINGTON WWT,40000601001,,,,,,,,,,,,,,,,,,,,.03,.03,.03,570,,,,570,0,570,770,,,,770,0,770,,,"WASHINGTON, TOWN OF",McClain,Lower Canadian-Walnut,11090202,4th Congressional District,OK,6,MAP
WAYNE WWT,40000602001,,,,,"$939,825",,,,,,,,,,,,"$939,825",,,.07,.075,.075,780,,,,780,0,780,"1,060",,,,"1,060",0,1060,OK0028665,Individual Permit,"WAYNE, TOWN OF",McClain,Lower Canadian-Walnut,11090202,4th Congressional District,OK,6,MAP
GARVIN WWT,40000606001,,,,,,,,,,,,,,,,,,,,.015,.015,.015,150,,,,150,0,150,160,,,,160,0,160,,,"GARVIN, TOWN OF",McCurtain,Upper Little,11140107,2nd Congressional District,OK,6,MAP
HAWORTH WWT,40000609001,,,,,,,,,,,,,,,,,,,,.04,.04,.04,354,,,,354,0,354,390,,,,390,0,390,,,"HAWORTH, TOWN OF",McCurtain,Pecan-Waterhole,11140106,2nd Congressional District,OK,6,MAP
MILLERTON WWT,40000610001,"$310,352",,,,,,,,,,,,,,,,"$310,352",,,.03,.03,.03,359,,,,359,0,359,390,,,,390,0,390,OK0037028,Individual Permit,MILLERTON PUBLIC WORKS AUTHORITY,McCurtain,Pecan-Waterhole,11140106,2nd Congressional District,OK,6,MAP
VALLIANT WWT,40000613001,,,,,,,,,,,,,,,,,,,,.1,.15,.15,771,,,,771,0,771,830,,,,830,0,830,OKG580065,General Permit Covered Facility,VALLIANT PWA,McCurtain,Pecan-Waterhole,11140106,2nd Congressional District,OK,6,MAP
WRIGHT CITY WWT,40000615001,,,,,,,,,,,,,,,,,,,,.1,.14,.14,848,,,,848,0,848,920,,,,920,0,920,OK0032387,Individual Permit,WRIGHT CITY PWA,McCurtain,Upper Little,11140107,2nd Congressional District,OK,6,MAP
CHECOTAH PWA WWT,40000616001,,,,,"$4,535,482",,,,,,,,,,,,"$4,535,482",,,.35,1.9,1.9,"3,481",,,,"3,481",0,3481,"4,350",,,,"4,350",0,4350,OK0028100,Individual Permit,CHECOTAH PUBLIC WORKS AUTHORITY,McIntosh,Dirty-Greenleaf,11110102,2nd Congressional District,OK,6,MAP
EUFAULA PWA WWT,40000617001,"$2,074,009",,,,"$3,391,042",,,,,,,,,,,,"$5,465,051",,,.26,.36,.36,"2,639",,,,"2,639",0,2639,"3,300",,,,"3,300",0,3300,OK0035611,Individual Permit,EUFAULA PWA,McIntosh,Lower North Canadian,11100302,2nd Congressional District,OK,6,MAP
HANNA PWA WWT,40000618001,,,,,,,,,,,,,,,,,,,,.01,.01,.01,133,,,,133,0,133,180,,,,180,0,180,,,HANNA PUBLIC WORKS AUTHORITY,McIntosh,Lower Canadian,11090204,2nd Congressional District,OK,6,MAP
AMES WWT,40000622001,,,,,,,,,,,,,,,,,,,,.02,.02,.02,199,,,,199,0,199,200,,,,200,0,200,,,"AMES, TOWN OF",Major,Lower Cimarron-Skeleton,11050002,3rd Congressional District,OK,6,MAP
CLEO SPRINGS WWT,40000624001,,,,,,,,,,,,,,,,,,,,.04,.04,.04,326,,,,326,0,326,320,,,,320,0,320,,,"CLEO SPRINGS, CITY OF",Major,Lower Cimarron-Eagle Chief,11050001,3rd Congressional District,OK,6,MAP
FAIRVIEW WWT,40000625001,,,,,,,,,,,,,,,,,,,,.2,.3,.3,"2,773",,,,"2,773",0,2773,"2,720",,,,"2,720",0,2720,OK0020079,Individual Permit,"FAIRVIEW, CITY OF",Major,Lower Cimarron-Eagle Chief,11050001,3rd Congressional District,OK,6,MAP
MENO WWT,40000627001,,,,,,,,,,,,,,,,,,,,.02,.02,.02,195,,,,195,0,195,190,,,,190,0,190,,,"MENO, TOWN OF",Major,Lower Cimarron-Skeleton,11050002,3rd Congressional District,OK,6,MAP
RINGWOOD WWT,40000628001,,,,,,,,,,,,,,,,,,,,.05,.056,.056,424,,,,424,0,424,420,,,,420,0,420,OKG580047,General Permit Covered Facility,"RINGWOOD, TOWN OF",Major,Lower Cimarron-Skeleton,11050002,3rd Congressional District,OK,6,MAP
KINGSTON WWT,40000630001,,,,,,,,,,,,,,,,,,,,.2,.25,.25,"1,390",,,,"1,390",0,1390,"2,190",,,,"2,190",0,2190,OK0027774,Individual Permit,"KINGSTON, TOWN OF",Marshall,Lake Texoma,11130210,2nd Congressional District,OK,6,MAP
MADILL PWA WWT,40000634001,,,,,,,,,,,,,,,,,,,,.4,.75,.75,"3,410",,,,"3,410",0,3410,"5,380",,,,"5,380",0,5380,OK0031721,Individual Permit,MADILL PUBLIC WORKS AUTHORITY,Marshall,Lower Washita,11130304,2nd Congressional District,OK,6,MAP
OAKLAND PWA WWT,40000636001,,,,,,,,,,,,,,,,,,,,.06,.06,.06,674,,,,674,0,674,"1,060",,,,"1,060",0,1060,OK0031933,Individual Permit,OAKLAND PUBLIC WORKS AUTHORITY,Marshall,Lower Washita,11130304,2nd Congressional District,OK,6,MAP
ADAIR WWT,40000637001,,,,,,,,,,,,,,,,,,,,.07,.095,.095,810,,,,810,0,810,"1,000",,,,"1,000",0,1000,OK0027197,Individual Permit,"ADAIR, CITY OF",Mayes,Lower Neosho,11070209,2nd Congressional District,OK,6,MAP
CHOUTEAU PWA WWT,40000638001,,,,,,,,,,,,,,,,,,,,.2,.25,.25,"1,931",,,,"1,931",0,1931,"2,330",,,,"2,330",0,2330,OK0022764,Individual Permit,CHOUTEAU PUBLIC WORKS AUTHORITY,Mayes,Lower Neosho,11070209,2nd Congressional District,OK,6,MAP
LOCUST GROVE PWA WWT,40000640001,,,"$2,802,821",,,,,,,,,,,,,,"$2,802,821",,,.15,.174,.174,"1,366",,,,"1,366",0,1366,"1,650",,,,"1,650",0,1650,OK0022772,Individual Permit,LOCUST GROVE PUBLIC WORKS AUTHORITY,Mayes,Lower Neosho,11070209,2nd Congressional District,OK,6,MAP
PRYOR CREEK WWT,40000642001,,,,,,,,,,,,,,,,,,,,1.2,1.67,1.67,"8,659",,,,"8,659",0,8659,"10,450",,,,"10,450",0,10450,OK0040479,Individual Permit,"PRYOR CREEK, CITY OF",Mayes,Lower Neosho,11070209,2nd Congressional District,OK,6,MAP
SALINA PWA WWT,40000643001,,,,,,,,,,,,,,,,,,,,.12,.14,.14,"1,422",,,,"1,422",0,1422,"1,720",,,,"1,720",0,1720,OK0020338,Individual Permit,SALINA PUBLIC WORKS AUTHORITY,Mayes,Lower Neosho,11070209,2nd Congressional District,OK,6,MAP
PENSACOLA PWA WWT,40000646001,,,,,,,,,,,,,,,,,,,,.01,.016,.016,71,,,,71,0,71,90,,,,90,0,90,OK0040410,Individual Permit,PENSACOLA PUBLIC WORKS AUTHORITY,Mayes,Lower Neosho,11070209,2nd Congressional District,OK,6,MAP
DAVIS WWT,40000648001,,,,,,,,,,,,,,,,,,,,.33,.38,.38,"2,510",,,,"2,510",0,2510,"3,000",,,,"3,000",0,3000,OK0021644,Individual Permit,"DAVIS, CITY OF",Murray,Middle Washita,11130303,4th Congressional District,OK,6,MAP
DAVIS SOUTH (JOLLYVILLE),40000648002,,,,,,,,,,,,,,,,,,,,.012,.012,.012,100,,,,100,0,100,100,,,,100,0,100,,,"DAVIS, CITY OF",Murray,Middle Washita,11130303,4th Congressional District,OK,6,MAP
TURNER FALLS PARK (DAVIS),40000648003,,,,,,,,,,,,,,,,,,,,.005,.005,.005,10,,,,10,0,10,10,,,,10,0,10,,,"DAVIS, CITY OF",Murray,Middle Washita,11130303,4th Congressional District,OK,6,MAP
DOUGHERTY WWT,40000649001,,,,,,,,,,,,,,,,,,,,.03,.03,.03,224,,,,224,0,224,270,,,,270,0,270,,,"DOUGHERTY, TOWN OF",Murray,Middle Washita,11130303,4th Congressional District,OK,6,MAP
BOYNTON PWA WWT,40000650001,"$778,717",,,,"$242,963",,,,,,,,,,,,"$1,021,680",,,.04,.065,.065,274,,,,274,0,274,290,,,,290,0,290,OK0034347,Individual Permit,BOYNTON PUBLIC WORKS AUTHORITY,Muskogee,Polecat-Snake,11110101,2nd Congressional District,OK,6,MAP
BRAGGS PWA WWT,40000651001,,,,,"$344,150",,,,,,,,,,,,"$344,150",,,.03,.04,.04,301,,,,301,0,301,320,,,,320,0,320,OK0034444,Individual Permit,BRAGGS PUBLIC WORKS AUTHORITY,Muskogee,Dirty-Greenleaf,11110102,2nd Congressional District,OK,6,MAP
FORT GIBSON UA WWT,40000654001,,,,,,,,,,,,,,,,,,,,1.1,1.8,1.8,"4,046",,,,"4,046",0,4046,"4,270",,,,"4,270",0,4270,OK0021938,Individual Permit,FORT GIBSON UTILITY AUTHORITY,Muskogee,Lower Neosho,11070209,2nd Congressional District,OK,6,MAP
HASKELL PWA WWT,40000655001,"$1,134,134",,,,,,,,,,,,,,,,"$1,134,134",,,.2,.39,.39,"2,007",,,,"2,007",0,2007,"2,200",,,,"2,200",0,2200,OK0032271,Individual Permit,HASKELL PUBLIC WORKS AUTHORITY,Muskogee,Polecat-Snake,11110101,2nd Congressional District,OK,6,MAP
OKTAHA WWT,40000656001,,,,,,,,,,,,,,,,,,,,.025,.03,.03,327,,,,327,0,327,350,,,,350,0,350,,,"OKTAHA, TOWN OF",Muskogee,Dirty-Greenleaf,11110102,2nd Congressional District,OK,6,MAP
WARNER UA WWT,40000660001,,,,,,,,,,,,,,,,,,,,.16,.28,.28,"1,430",,,,"1,430",0,1430,"1,510",,,,"1,510",0,1510,OK0031003,Individual Permit,WARNER UTILITIES AUTHORITY,Muskogee,Dirty-Greenleaf,11110102,2nd Congressional District,OK,6,MAP
WEBBER'S FALLS WWT,40000661001,,,,,"$868,823",,,,,,,,,,,,"$868,823",,,.04,.045,.045,726,,,,726,0,726,770,,,,770,0,770,OK0034631,Individual Permit,"WEBER'S FALLS, CITY OF",Muskogee,Dirty-Greenleaf,11110102,2nd Congressional District,OK,6,MAP
BILLINGS WWT,40000662001,,,,,,,,,,,,,,,,,,,,.05,.072,.072,436,,,,436,0,436,480,,,,480,0,480,,,"BILLINGS, TOWN OF",Noble,Black Bear-Red Rock,11060006,3rd Congressional District,OK,6,MAP
MARLAND PWA WWT,40000664001,,,,,,,,,,,,,,,,,,,,.02,.03,.03,280,,,,280,0,280,310,,,,310,0,310,,,MARLAND PWA,Noble,Black Bear-Red Rock,11060006,3rd Congressional District,OK,6,MAP
MORRISON NORTH WWT,40000665001,,,,,,,,,,,,,,,,,,,,.035,.049,.049,318,,,,318,0,318,355,,,,355,0,355,,,MORRISON PWA,Noble,Black Bear-Red Rock,11060006,3rd Congressional District,OK,6,MAP
MORRISON SOUTH WWT,40000665002,,,,,,,,,,,,,,,,,,,,.035,.049,.049,318,,,,318,0,318,355,,,,355,0,355,,,"MORRISON PWA, S-21218",Noble,Black Bear-Red Rock,11060006,3rd Congressional District,OK,6,MAP
PERRY WWT,40000666001,"$1,642,007",,,,,,,,,,,,,,,,"$1,642,007",,,.51,.66,.66,"5,230",,,,"5,230",0,5230,"5,770",,,,"5,770",0,5770,OK0027448,Individual Permit,"PERRY, CITY OF",Noble,Black Bear-Red Rock,11060006,3rd Congressional District,OK,6,MAP
RED ROCK WWT,40000667001,,,,,,,,,,,,,,,,,,,,.02,.03,.03,293,,,,293,0,293,330,,,,330,0,330,,,RED ROCK PWA,Noble,Black Bear-Red Rock,11060006,3rd Congressional District,OK,6,MAP
DELAWARE WWT,40000668001,,,,,"$521,369",,,,,,,,,,,,"$521,369",,,.04,.05,.05,456,,,,456,0,456,590,,,,590,0,590,OK0020796,Individual Permit,"DELAWARE, CITY",Nowata,Middle Verdigris,11070103,2nd Congressional District,OK,6,MAP
LENAPAH PWA WWT,40000669001,"$789,573",,,,,,,,,,,,,,,,"$789,573",,,.03,.039,.039,298,,,,298,0,298,410,,,,410,0,410,,,LENAPAH PWA,Nowata,Middle Verdigris,11070103,2nd Congressional District,OK,6,MAP
NEW ALLUWE WWT,40000670001,,,,,,,,,,,,,,,,,,,,.01,.01,.01,95,,,,95,0,95,95,,,,95,0,95,,,"NEW ALLUWE, TOWN OF",Nowata,Middle Verdigris,11070103,2nd Congressional District,OK,6,MAP
NOWATA MA WWT,40000671001,"$282,977",,,,,,,,,,,,,,,,"$282,977",,,.46,.53,.53,"3,971",,,,"3,971",0,3971,"5,150",,,,"5,150",0,5150,OK0025470,Individual Permit,NOWATA MUNICIPAL AUTHORITY,Nowata,Middle Verdigris,11070103,2nd Congressional District,OK,6,MAP
SOUTH COFFEYVILLE PWA WWT,40000672001,,,,,,,,,,,,,,,,,,,,.09,.159,.159,790,,,,790,0,790,"1,020",,,,"1,020",0,1020,OK0020117,Individual Permit,SOUTH COFFEYVILLE PWA,Nowata,Middle Verdigris,11070103,2nd Congressional District,OK,6,MAP
NOWATA CO. RW&SD #1 (WANN),40000673001,,,,,,,,,,,,,,,,,,,,.03,.03,.03,280,,,,280,0,280,300,,,,300,0,300,,,NOWATA CO. RW&SD #1,Nowata,Middle Verdigris,11070103,2nd Congressional District,OK,6,MAP
OKFUSKEE #1 (BOLEY) WWT,40000675001,"$312,210",,,,,,,,,,,,,,,,"$312,210",,,.03,.03,.03,"1,126",,,,"1,126",0,1126,"1,160",,,,"1,160",0,1160,OK0028622,Individual Permit,OKFUSKEE CO. RWD NO. 1 (BOLEY),Okfuskee,Lower North Canadian,11100302,2nd Congressional District,OK,6,MAP
OKEMAH PWA WWT,40000679001,,,,,"$3,933,360",,,,,,,,,,,,"$3,933,360",,,.5,.52,.52,"3,038",,,,"3,038",0,3038,"3,140",,,,"3,140",0,3140,OK0020737,Individual Permit,OKEMAH UTILITIES AUTHORITY,Okfuskee,Lower North Canadian,11100302,2nd Congressional District,OK,6,MAP
PADEN UA WWT,40000680001,,,,,,,,,,,,,,,,,,,,.03,.05,.05,461,,,,461,0,461,460,,,,460,0,460,,,PADEN UTILITIES AUTHORITY,Okfuskee,Deep Fork,11100303,2nd Congressional District,OK,6,MAP
BEGGS WWT,40000681001,,,,,,,,,,,,,,,,,,,,.09,.1,.1,"1,364",,,,"1,364",0,1364,"1,550",,,,"1,550",0,1550,OK0028177,Individual Permit,"BEGGS, CITY OF",Okmulgee,Deep Fork,11100303,2nd Congressional District,OK,6,MAP
DEWAR WWT,40000684001,"$16,575",,,,"$176,971",,,,,,,,,,,,"$193,546",,,.08,.11,.11,919,,,,919,0,919,"1,050",,,,"1,050",0,1050,OK0027537,Individual Permit,DEWAR PUBLIC WORKS AUTHORITY,Okmulgee,Deep Fork,11100303,2nd Congressional District,OK,6,MAP
HENRYETTA WWT,40000686001,,,,,"$482,474",,,,,,,,,,,,"$482,474",,,.7,2.18,2.18,"6,096",,,,"6,096",0,6096,"6,940",,,,"6,940",0,6940,OK0028266,Individual Permit,"HENRYETTA, CITY OF",Okmulgee,Deep Fork,11100303,2nd Congressional District,OK,6,MAP
MORRIS NORTHWEST WWT,40000688001,,,,,,,,,,,,,,,,,,,,.1,.24,.24,"1,294",,,,"1,294",0,1294,"1,470",,,,"1,470",0,1470,OK0028924,Individual Permit,"MORRIS, CITY OF",Okmulgee,Deep Fork,11100303,2nd Congressional District,OK,6,MAP
COMMERCE WWT,40000697001,,,"$3,189,619",,,,,,,,,,,,,,"$3,189,619",,,.28,.2,.304,"2,687",,,,"2,687",0,2687,"3,200",,,,"3,200",0,3200,OK0020320,Individual Permit,"COMMERCE, CITY OF",Ottawa,Lake O' The Cherokees,11070206,2nd Congressional District,OK,6,MAP
QUAPAW PWA WWT,40000701001,"$1,289,982",,,,"$568,690",,,,,,,,,,,,"$1,858,672",,,.1,.13,.13,984,,,,984,0,984,"1,110",,,,"1,110",0,1110,OK0028258,Individual Permit,QUAPAW PWA,Ottawa,Spring,11070207,2nd Congressional District,OK,6,MAP
OTTAWA #1 (WYANDOTTE) WWT,40000702001,,,,,,,,,,,,,,,,,,,,.04,.045,.045,363,,,,363,0,363,410,,,,410,0,410,OK0028291,Individual Permit,OTTAWA CO. RW&S DISTRICT #1 (WYANDOTTE),Ottawa,Lake O' The Cherokees,11070206,2nd Congressional District,OK,6,MAP
