AGENCY_NAME,FACILITY_NAME,PERMIT_NUMBER,PDF_File,Shared_PDF,Comminution,Primary Clarification,Secondary Clarification,Chemical Precipitation,Unspecified Clarification,Screening/Microstrainer,Grit Removal,Equalization,Flotation,SBR,Oxidation Ditch,Pure Oxygen,Extended Aeration,Stepfeed,Unspecified Activated Sludge,Facultative Lagoon,Aerated Lagoon,Anaerobic Lagoon,Polishing Lagoon,Unspecified Lagoon,AO,A2O,MLE,UCT,FourStageBardenpho,FiveStageBardenpho,Unspecified BNR,Chemical N Removal,Chemical P Removal,Secondary Filtration,Media Filtration,Biologically Active Filtration,Trickling Filter,Rotating Biological Contactor,Anaerobic Filter,Membrane Aerated Biofilm Reactor,Unspecified FFR,Nanofiltration,Electrodialysis Reversal,Electrodialysis,Reverse Osmosis,Ultrafiltration,Microfiltration,Membrane Bioreactor,Unspecified Membrane Process,Unspecified Filtration,Wetland,Unspecified Nature-Based Solution,UV-AOP,Coagulation,Flocculation,Ion Exchange,Activated Carbon,Chlorination,Dechlorination,UV Disinfection,Ozonation,Thermal Disinfection,Unspecified Disinfection,Alum Addition,Ferric Chloride Addition,Polymer Addition,Lime Addition,Neutralization,Unspecified Chemical Addition,Anaerobic Digestion,Aerobic Digestion,Unspecified Digestion,Mechanical Dewatering,Centrifuge,Drying,Elutriation,Unspecified Dewatering,Thickening,Land Application,Stabilization Pond,Biosolids Lagoon,Biosolids Landfill,Unspecified Disposal,MHI,FBI,Unspecified Incineration,Biogas Production,Cogeneration,Heat Recovery
SOCWA-San Juan Creek Ocean O/F,SMWD Oso Creek WRP,CA0107417,r9-2022-0005-a1_v3 signed dwg 03-28-24.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SMWD - Chiquita WRP,CA0107417,r9-2022-0005-a1_v3 signed dwg 03-28-24.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,City of San Clemente WRP,CA0107417,r9-2022-0005-a1_v3 signed dwg 03-28-24.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SOCWA - 3A Treatment Plant,CA0107417,r9-2022-0005-a1_v3 signed dwg 03-28-24.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,J.B. Latham Wastewater Treatment Plant,CA0107417,r9_2022_0005_sjcoo_signature signed dwg 03-18-22.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SOCWA San Juan Creek Ocean Outfall,CA0107417,r9_2022_0005_sjcoo_signature signed dwg 03-18-22.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SMWD Oso Creek WRP,CA0107417,r9_2022_0005_sjcoo_signature signed dwg 03-18-22.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SMWD - Chiquita WRP,CA0107417,r9_2022_0005_sjcoo_signature signed dwg 03-18-22.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,City of San Clemente WRP,CA0107417,r9_2022_0005_sjcoo_signature signed dwg 03-18-22.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SOCWA - 3A Treatment Plant,CA0107417,r9_2022_0005_sjcoo_signature signed dwg 03-18-22.pdf,Yes,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,present,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
Sacramento Area Sewer District (SacSewer),EchoWater Resource Recovery Facility,CA0077682,r5-2021-0019-01_npdes.pdf,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,present,0,0,0,0,0,present,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0
Sacramento Area Sewer District (SacSewer),EchoWater Resource Recovery Facility,CA0077682,r5-2021-0019-02.pdf,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,present,0,0,0,0,0,present,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0
Sacramento Area Sewer District (SacSewer),EchoWater Resource Recovery Facility,CA0077682,r5-2021-0019_npdes.pdf,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,present,present,0,0,0,0,0,present,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0
Sacramento City,Sac City Combined WW Collection/TRT Sys,CA0079111,R5-2020-0039_npdes.pdf,No,0,present,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa Pacific Group LLC,Samoa Pacific WWTP (Samoa Town Site),CA1000001,20_0005_Samoa WWTF_NPDES.pdf,No,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0
San Andreas SD,San Andreas SD WWTP,CA0079464,R5-2024-0025_npdes.pdf,No,0,present,present,present,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,present,present,0,present,present,present_and_future,0,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0
San Diego City Metropolitan Wastewater Dept (Public Utilities),South Bay WRP,CA0109045,r9-2021-0011.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,present,present,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0
San Jose City,San Jose/Santa Clara WPCP,CA0037842,CA0037842 SJ-SC Order R2-2020-0001.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,present,0,0,0,0,present_and_future,present_and_future,present_and_future,0,0,present,0,present,present_and_future,0,0,0,0,0,0,0,0,0,0,0
San Juan Bautista City,San Juan Bautista WWTP,CA0047902,NPDES R3-2009-0019 for San Juan Bautista WWTP.pdf,No,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,future,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Luis Obispo City,San Luis Obispo WWTP,CA0049224,Order R3-2024-0001.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,present,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,0,0,present,present,present,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Mateo City,San Mateo WWTP,CA0037541,R2-2023-0017.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Simeon CSD,San Simeon WWTP,CA0047961,Order R3-2022-0003_signed.pdf,No,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Clarita Valley SD of Los Angeles Cnty,Saugus Water Reclamation Plant,CA0054313,2960_R4-2022-0175_WDR_PKG.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0
Santa Clarita Valley SD of Los Angeles Cnty,Valencia WRP,CA0054216,4993_R4-2022-0174_WDR_PKG.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0
Santa Rosa City Dept of Public Works,Santa Rosa Laguna Subregional Water Reclamation Facility,CA0022764,20_0012_SantaRosa-LagunaWWTF_NPDES.pdf,No,0,present,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,future,0,0,present_and_future,present,0,present,0,0,0,0,0,future,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0
Sausalito-Marin City San District,Sausalito Marin City STP,CA0038067,NPDES Order R2-2023-0022.pdf,No,0,present,present,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,present,0,0,0,0,present,present,present,present,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0
Seeley Cnty WD,Seeley CWD WWTP,CA0105023,R7-2023-0003.pdf,No,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,present,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,future,0,0,0,0,0,0,0,0,0,0,0,present_and_future,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,present,0,future,0,0,0,0,0,0,0,0,0,0,0,0
Sewerage Agency of Southern Marin,Sewerage Agency of Southern Marin (SASM) WWTP,CA0037711,R2-2023-0021.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,present,present,present,present,present,0,0,0,present,present,0,0,0,present,0,0,0,0,present,0,0
Sewerage Commission Oroville Region,Sewerage Commission Oroville Region WWTP,CA0079235,r5-2021-0044_npdes.pdf,No,0,present,present_and_future,0,present_and_future,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,present,future,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0
Shasta CSA #17,Cottonwood WWTP,CA0081507,r5-2024-0026_npdes.pdf,No,0,0,0,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,0,present,0,0,0,0,present,0,0,0,0,0,0,0
Shasta Lake City,Shasta Lake WWTF,CA0079511,r5-2020-0058_npdes.pdf,No,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,present,present,0,0,present,0,0,0,0,0,0,present,0,0,0,0,0,0,0
Silicon Valley Clean Water,SVCW WWTP,CA0038369,SVCW Order R2-2023-0003 (1).pdf,No,0,present_and_future,present,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,present,present,0,0,present,present_and_future,present_and_future,present_and_future,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonoma County Water Agency (SCWA),SCWA Russian River CSD,CA0024058,21_0002_Russian River CSD and Sonoma Water WWTF NPDES.pdf,No,0,0,present,0,present_and_future,0,0,0,0,0,0,0,0,0,present_and_future,0,0,0,0,present,0,0,0,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,present,0,0,future,0,0,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0
Stockton City,Wastewater Recovery Center,CA0079138,r5-2025-0027_npdes.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present_and_future,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,present,0,present,0,0,present,0,0,0,0,0,present,present,present,present,present,present,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
Summerland SD,Summerland SD WWTP,CA0048054,R3-2022-0014-(ACC).pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunnyvale City,Sunnyvale WPCP,CA0037621,CA0037621 Sunnyvale Order R2-2020-0002.pdf,No,0,present_and_future,future,0,present_and_future,0,0,0,0,0,0,0,0,0,future,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,present_and_future,0,0,0,present_and_future,0,0,present,0,0,0,present,present,present,present,0,0,0,present,0,present,0,0,present,0,0,0,0,present,0,0
Tehama Co SD #1,Mineral WWTP,CA0084069,r5-2023-0040_npdes.pdf,No,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Town of Discovery Bay CSD,Discovery Bay WWTP,CA0078590,R5-2024-0068_npdes.pdf,No,0,0,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,present,present,present,0,present,0,0,0,0,0,present,present,0,0,0,0,0,0,0
Treasure Island Development Authority,Treasure Island WWTP/DOD,CA0110116,R2-2020-0020.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,0,0,present,present,present,0,0,0,0,0,0,present,0,0,present,0,0,0,0,present,0,0
Turlock City,"Turlock City, Turlock Regional Water Quality Control Facility",CA0078948,r5-2021-0005_npdes.pdf,No,0,0,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present_and_future,0,0,0,present,present,0,0,0,0,present,0,0,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0
UC Davis,UC Davis Main WWTP,CA0077895,r5-2021-0007_npdes.pdf,No,0,0,present,0,present,0,0,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,future,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,present,0,0,0,0,0,0,0
US Navy Naval Air Station El Centro,US Navy Naval Air Facility WWTP,CA0104906,R7-2021-0045.pdf,No,0,0,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,present,0,0,0,0,0,0,0
USDI National Park Service Yosemite National Park,El Portal WWTF,CA0081759,r5-2025-0031_npdes.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,future,0,0,future,0,0,0,0,0,0,0,0,future,future,0,0,0,future,0,0,0,0,0,0,0,0,0,0,0,0
Ukiah City,Ukiah City WWTP,CA0022888,24_0016_Ukiah_NPDES_07.18.2024_signed.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,present,present,0,0,0,present,present,present,present_and_future,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0
Vacaville City DPW,Easterly WWTP,CA0077691,r5-2025-0028_npdes.pdf,No,0,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0
Vallejo Flood & Wastewater District (formerly Vallejo San & Flood Control District),Vallejo Flood & Wastewater District (VFWD) WWTP,CA0037699,Order R2-2023-0001.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,present,present,present,0,0,0,0,0,0,0,0,0,0
West County Agency,West County Agency Outfall,CA0038539,R2-2024-0008 West County.pdf,No,0,present,present,present,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,present,present,present,present,present,present,0,0,present,0,0,present,present,0,0,0,0,present,present,0
Westmorland City,Westmorland City WWTP,CA0105007,R7-2023-0002.pdf,No,0,0,present,0,present,0,0,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,present,0,0,0,0,0,0,0
Willits City,Willits City WWTP,CA0023060,21_0021_Willits_WWTF_NPDES.pdf,No,0,0,0,0,present,0,0,0,0,0,0,0,present,0,present,0,0,0,0,present_and_future,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0,present,present,0,0,present,0,present,0,0,0,0,0,future,0,0,0,0,0,0
Willows City,Willows WWTP,CAC447786,R5-2017-0085-01.pdf,No,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,present,present,0,0,0,0,0,present,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0
Windsor Water District,"Windsor Wastewater Treatment, Reclamation, and Disposal Facility",CA0023345,20_0010_Windsor Water District_NPDES.pdf,No,0,0,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0,present,0,present,present,0,present,0,0,0,0,0,0,0
Yuba City,Yuba City WWTF,CA0079260,r5-2024-0055_npdes.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,0,0,present,0,0,0,present,present,present,present,0,present,0,present_and_future,0,0,0,0,present,0,0,0,0,0,0,0
Arcata City,Arcata City WWTF,,19_0006_Arcata_NPDES.pdf,No,0,present,present,0,present_and_future,0,0,0,0,0,present_and_future,0,0,0,present,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,present_and_future,present,present_and_future,0,0,present_and_future,0,0,0,0,0,0,present,present,present,0,0,present,0,0,present,present_and_future,0,0,0,0,0,0,0,0,0,present
Camarillo Sanitary District,Camarillo WRP,,1278_R4-2019-0136_WDR_PKG.pdf,No,0,present,present,0,present_and_future,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,present,present,0,0,0,0,0,present,present,present,0,0,present,0,0,0,0,0,0,present,0,0,0,0,0,0,0
Carmel Area Wastewater District,Carmel Area WWTP,,Carmel_Area_WWTP_final.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,present,present,present_and_future,present_and_future,0,0,0,future,present,0,0,0,present,0,0,0,0,0,0,0
Carpinteria SD,Carpinteria SD WWTP,,Revised_CA0047364_Carpinteria.pdf,No,0,present,present,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,future,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,present,0,present,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coachella SD,Coachella SD WWTP,,R7-2020-0008.pdf,No,0,0,present,0,present,0,0,0,0,0,present,0,present,0,present,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0
