Agency,Agency Address,Facility Name,Facility Address,Latitude,Longitude,Place/Project Type,SIC/NAICS,County,Region,Program,Regulatory Measure Status,Regulatory Measure Type,Order No.,WDID,NPDES No.,Adoption Date,Effective Date,Termination Date,Expiration/Review Date,Design Flow,Major/Minor,Complexity,TTWQ,CAF Population,CAF Subtype,AEU,# Enforcement Actions within 5 years,# Violations within 5 years,Unnamed: 29
Calaveras Cnty Water District,"Po Box 846, San Andreas, CA 95249",West Point WWTF,"Hwy 26 @ Sandy Gulch Rd, Wilseyville, CA 95255",38.378917,-120.529699,Wastewater Treatment Facility,4952,Calaveras,5S,WDRMUNIOTH,Active,Enrollee - WDR,2014-0153-DWQ,5B05NC00025,,,06/18/2020,,2029-09-23,0.017,,C,3,,,,0,0,
Calaveras Cnty Water District,"Po Box 846, San Andreas, CA 95249",Copper Cove WWRF,"5130 Kiva Place, Copperopolis, CA 95228",37.92487,-120.635969,Wastewater Treatment Facility,4952,Calaveras,5S,NPDMUNIOTH,Active,NPDES Permit,R5-2023-0013,5B05NP00001,CA0084620,04/27/2023,06/01/2023,,2028-05-31,.95,Minor,B,2,,,,1,7,
Amador Water Agency,"12800 Ridge Road, Sutter Creek, CA 95685-9630",Pine Grove Community Leachfield System,"12800 Ridge Road, Sutter Creek, CA 95685",38.41141,-120.667305,Wastewater Treatment Facility,4952,Amador,5S,"WDR, WDRMUNIOTH",Active,WDR,R5-2009-0003,5B05NP00005,,02/05/2009,02/05/2009,,2019-02-05,.0287,,C,2,,,,0,0,
Angels City,"Po Box 667, Angels, CA 95370",Angels City WWTP,"3000 Centennial Road, Angels Camp, CA 95222",38.058126,-120.541998,Wastewater Treatment Facility,4952,Calaveras,5S,"NPDMUNIOTH, WDR, WDRMUNILRG",Active,NPDES Permit,R5-2022-0038,5B05NP00007,CA0085201,06/10/2022,08/01/2022,,2027-07-31,0.6,Minor,B,3,,,,3,14,
Calaveras Cnty Water District,"Po Box 846, San Andreas, CA 95249",Forest Meadows WWRP,"1040 Forest Meadows Drive, Murphys, CA 95247",38.16368,-120.41881,Wastewater Treatment Facility,4952,Calaveras,5S,NPDMUNIOTH,Active,NPDES Permit,R5-2024-0067,5B05NP00014,CA0085278,12/13/2024,02/01/2025,,2030-01-31,0.19,Minor,C,2,,,,0,0,
Brentwood City,"2251 Elkins Way, Brentwood, CA 94513",Brentwood WWTP,"2251 Elkins Way, Brentwood, CA 94513",37.95792,-121.68634,Wastewater Treatment Facility,4952,Contra Costa,5S,"NPDMUNILRG, REC, SLIC",Active,NPDES Permit,R5-2024-0020,5B070101001,CA0082660,04/19/2024,06/01/2024,,2029-05-31,5,Major,B,2,,,,10,42,
Byron Sanitary District,"7995 Bruns Avenue, Byron, CA 94514",Byron Sanitary District WWTF,"4200 Camino Diablo Road, Byron, CA 94514",37.86694,-121.61733,Wastewater Treatment Facility,4952,Contra Costa,5S,"WDR, WDRMUNILRG",Active,WDR,R5-2009-0002,5B070102002,,02/05/2009,02/05/2009,,2019-02-05,0.1,,B,2,,,,0,0,
Town of Discovery Bay CSD,"1800 Willow Lake Road, Discovery Bay, CA 94505",Discovery Bay WWTP,"Ship Channel Rd, North of Highway 4 and West of Old River, Discovery Bay, CA 94514",37.8145,-121.6169,Wastewater Treatment Facility,4952,Contra Costa,5S,"NPDMUNILRG, SLIC",Active,NPDES Permit,R5-2024-0068,5B070105003,CA0078590,12/13/2024,02/01/2025,,2030-01-31,2.35,Major,A,2,,,,7,25,
Ironhouse Sanitary District,"450 Walnut Meadows Drive, Oakley, CA 94561",Ironhouse WWTF,"450 Walnut Meadows Drive, Oakley, CA 94561",38.00115,-121.7023,Wastewater Treatment Facility,4952,Contra Costa,5S,"NPDMUNILRG, REC, SLIC, WDR, WDRMUNILRG",Active,NPDES Permit,R5-2024-0038,5B07NP00013,CA0085260,06/21/2024,08/01/2024,,2029-07-31,4.3,Major,A,1,,,,3,10,
El Dorado Irrigation District,"2890 Mosquito Road, Placerville, CA 95667-4700",Deer Creek WWTP,"1565 Deer Creek Road, Cameron Park, CA 95682",38.62947,-120.98715,Wastewater Treatment Facility,4952,El Dorado,5S,"NPDMUNILRG, SLIC",Active,Enrollee - NPDES,R5-2023-0025,5B090102001,CAC433255,08/23/2024,10/01/2024,,2029-09-30,3.6,Major,A,1,,,,5,7,
El Dorado Irrigation District,"2890 Mosquito Road, Placerville, CA 95667-4700",El Dorado Hills WWTP,"4625 Latrobe Road, El Dorado Hills, CA 95762",38.63735,-121.06022,Wastewater Treatment Facility,4952,El Dorado,SB,"NPDMUNILRG, SLIC",Active,Co-Permitee,2020-0015-DWQ,5B090102005,,,07/09/2020,,,,Major,,,,,,1,2,
El Dorado Cnty Env Mgmt Dept,"2850 Fairlane Court C, Placerville, CA 95667",Union Mine Disposal Site,"5700 Union Mine Road, El Dorado, CA 95623",38.64276,-120.831,Wastewater Treatment Facility,4953,El Dorado,5S,WDRMUNIOTH,Active,WDR,R5-2006-0019-001,5B09NC00006,,01/26/2006,01/26/2006,,,.020,,B,2,,,,0,0,
County of Fresno,"2220 Tulare Street 6th Floor, Fresno, CA 93721",Fresno Cnty Juvenile Justice WWTF,"3333 American Avenue, Fresno, CA 93725",36.65705556,-119.7313889,Wastewater Treatment Facility,4952,Fresno,5F,WDRMUNILRG,Active,WDR,R5-2007-0150,5B10NC00011,,10/26/2007,10/26/2007,,2012-10-26,0.12,,A,2,,,,1,155,
Fresno County Waterworks District No. 18,"P O Box 846, Friant, CA 93626-0092",Mira Bella WWTF,"Tract 4321, Friant, CA 93626",36.98948,-119.69746,Wastewater Treatment Facility,4952,Fresno,5F,WDRMUNIOTH,Active,Enrollee - WDR,2014-0153-DWQ,5B10NC00014,,,11/22/2022,,2029-09-23,0.0174,,C,2,,,,0,0,
Fresno County Water Works District No. 18,"17836 Friant Road, Friant, CA 93626",Friant Ranch WWTF,"15755 North Friant Road, Friant, CA 93626",36.96814,-119.72973,Wastewater Treatment Facility,4952,Fresno,5F,WDRMUNILRG,Active,WDR,R5-2013-0160,5B10NC00059,,12/06/2013,12/06/2013,,2023-12-06,0.4,,B,3,,,,0,0,
Root Creek Water District,"39639 Avenue 10, Madera, CA 93638",Riverstone WWTF,"Road 40, north of Avenue 10, Madera, CA 93638",36.90594,-119.82253,Wastewater Treatment Facility,4952,Madera,5F,WDRMUNIOTH,Active,WDR,R5-2015-0018,5B10NC00072,,04/16/2015,04/16/2015,,2025-04-16,0.3,,B,2,,,,0,0,
"Richard Loughead, Jr","Po Box 3151, Shell Beach, CA 93448",The Preserve at Millerton Lake,"17206 Road 206, Madera, CA 93626",37.0092,-119.728,Wastewater Treatment Facility,4952(+),Madera,5F,WDRMUNIOTH,Active,Enrollee - WDR,2014-0153-DWQ,5B20NC00059,,,08/27/2019,,2029-09-23,0.047,,B,2,,,,0,0,
Tesoro Viejo Master Mutual Water Company,"7020 North Van Ness Boulevard, Fresno, CA 93711",Tesoro Viejo WWTP,"NW Corner Avenue 14 and Espienada, Madera, CA 93636",36.95449,-119.78866,Wastewater Treatment Facility,9511,Madera,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,5B20NC00105,,,07/09/2020,,,,,,,,,,0,6,
Madera County Public Works Department - Special Districts,"200 West 4th Street, Madera, CA 93637",Madera Cnty #19-Parkwood WWTF,"Georgia Avenue and Watt Street, Madera, CA 93637",36.931183,-120.050997,Wastewater Treatment Facility,6552,Madera,5F,"WDRMUNILRG, WDRMUNIOTH",Active,Enrollee - WDR,2014-0153-DWQ,5B20NC00127,,,08/08/2024,,2029-09-23,0.09,,B,2,,,,0,0,
Planada CSD,"Po Box 905, Planada, CA 95365",Planada WWTF,"8597 East Toews, Planada, CA 95365",37.27692,-120.33191,Wastewater Treatment Facility,4952,Merced,5F,"NPDMUNIOTH, WDRMUNILRG",Active,WDR,R5-2013-0021,5B24NC00303,,04/11/2013,04/11/2013,,2023-04-11,0.58,Minor,B,2,,,,0,6,
Atwater City,"750 Bellevue Road, Atwater, CA 95301",Atwater Regional WWTF,"530 South Bert Crane Road, Atwater, CA 95340",37.276,-120.63126,Wastewater Treatment Facility,,Merced,SB,"NPDMUNILRG, SLIC, WDRNONMUNIPRCS",Active,Co-Permitee,2020-0015-DWQ,5B24NP00017,,,07/09/2020,,,,Major,,,39018,,,0,7,
Galt City,"495 Industrial Drive, Galt, CA 95632-2039",Galt WWTP & Reclamation Facility,"10059 Twin Cities Road, Galt, CA 95632",38.29794,-121.32752,Wastewater Treatment Facility,4952(+),Sacramento,5S,"NPDMUNILRG, SLIC, WDRMUNILRG",Active,Enrollee - NPDES,R5-2023-0025,5B340101001,CAC443249,07/01/2021,07/01/2021,,2028-10-01,4.5,Major,A,1,,,,11,33,
Isleton City,"210 Jackson Boulevard, Isleton, CA 95641",Isleton WWTP,"210 Jackson Boulevard, Isleton, CA 95641",38.15911,-121.58991,Wastewater Treatment Facility,4952,Sacramento,5S,"WDR, WDRMUNILRG",Active,WDR,90-186,5B340103001,,06/22/1990,06/22/1990,,2000-06-19,.43,,B,2,,,,1,1,
Rancho Murieta CSD,"Po Box 1050, Rancho Murieta, CA 95683",Rancho Murieta CSD WWT & Rec,"15160 Jackson Road, Rancho Murieta, CA 95683",38.490532,-121.088797,Wastewater Treatment Facility,4952,Sacramento,5S,"REC, WDRMUNILRG",Active,WDR,R5-2014-0149,5B340109001,,12/04/2014,12/04/2014,,2024-12-04,2.4,,B,2,,,,1,1,
Ca Dept of Corrections & Rehabilitation,"9838 Old Placerville Road B, Sacramento, CA 95827",Deuel Vocational Institution,"23500 Kasson Road, Tracy, CA 95304",37.750556,-121.326389,Wastewater Treatment Facility,4952(+),San Joaquin,5S,"NPDMUNIOTH, NPDNONMUNIPRCS, UST",Active,Enrollee - NPDES,R5-2022-0006-03,5B390100001,CAG995002,,02/24/2025,,2027-03-31,0.06,Minor,C,3,,,,3,12,
Escalon City,"2060 Mchenry Avenue, Escalon, CA 95320",Escalon Treatment Plant,"25100 West River Road, Escalon, CA 95320",37.75659,-121.00295,Wastewater Treatment Facility,4952,San Joaquin,SB,"SLIC, WDR, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,5B390101001,,,07/09/2020,,,,,,,,,,0,0,
Lockeford CSD,"Po Box Z, Lockeford, CA 95237-0809",Lockeford CSD WWTP,"17725 North Tully Road, Lockeford, CA 95237",38.14495,-121.13579,Wastewater Treatment Facility,4952,San Joaquin,5S,"WDR, WDRMUNILRG",Active,WDR,R5-2007-0179,5B390102002,,12/06/2007,12/06/2007,,2017-12-06,.3,,B,2,,,,0,0,
Lodi City,"221 West Pine Street, Lodi, CA 95240",White Slough Water Pollution Control Facility,"12751 North Thornton Road, Lodi, CA 95242",38.094431,-121.381226,Wastewater Treatment Facility,1799,San Joaquin,5S,"NPDMUNILRG, SLIC, WDRMUNILRG, WDRNONMUNIPRCS",Active,WDR,R5-2025-0046,5B390103002,,08/22/2025,08/22/2025,,2035-08-22,8.5,Major,B,2,,,,19,101,
Manteca City,"1001 West Center Street, Manteca, CA 95337",City of Manteca WW Quality Control Facility,"2450 West Yosemite Avenue, Manteca, CA 95337",37.79559,-121.26001,Wastewater Treatment Facility,4952,San Joaquin,5S,"NPDMUNILRG, SLIC, WDRMUNILRG",Active,NPDES Permit,R5-2021-0003,5B390104001,CA0081558,02/18/2021,04/01/2021,,2026-03-31,9.87,Major,A,1,,,,8,25,
Ripon City,"259 North Wilma Avenue, Ripon, CA 95366",Ripon Industrial & Domestic TP,"1220 Vera Avenue, Ripon, CA 95366",37.72919,-121.132976,Wastewater Treatment Facility,4952,San Joaquin,SB,"SLIC, WDR, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,5B390105001,,,07/09/2020,,,,,,,,,,0,0,
CA Department of Housing and Community Development,"2020 West El Camino Avenue 500, Sacramento, CA 95833",Harney Lane Migrant Center,"14320 East Harney Lane, Lodi, CA 95240",38.102254,-121.141207,Wastewater Treatment Facility,6514,San Joaquin,5S,WDRMUNIOTH,Active,WDR,95-176,5B390106002,,06/23/1995,06/23/1995,,2005-06-19,.04,,B,2,,,,0,0,
Stockton City,"2500 Navy Drive, Stockton, CA 95206",Wastewater Recovery Center,"2500 Navy Drive, Stockton, CA 95206",37.936547,-121.329178,Wastewater Treatment Facility,4952(+),San Joaquin,5S,"NPDMUNILRG, SLIC",Active,NPDES Permit,R5-2025-0027,5B390107001,CA0079138,06/20/2025,08/01/2025,,2030-07-31,55,Major,A,1,,,,20,140,
Tracy City,"3900 Holly Drive, Tracy, CA 95304",Tracy WWTP,"3900 Holly Drive, Tracy, CA 95304",37.76519,-121.42489,Wastewater Treatment Facility,4952,San Joaquin,5S,"NPDMUNILRG, SLIC, WDRMUNILRG, WDRNONMUNIPRCS",Active,NPDES Permit,R5-2022-0073,5B390108001,CA0079154,12/09/2022,02/01/2023,,2028-01-31,10.80,Major,A,1,,,,12,39,
Woodbridge Sanitary District,"19720 Benedict Drive, Woodbridge, CA 95258",Woodbridge SD-Sewage Treatment,"19720 Benedict Drive, Woodbridge, CA 95258",38.16545,-121.31718,Wastewater Treatment Facility,4952,San Joaquin,5S,"WDR, WDRMUNILRG",Active,WDR,93-213,5B390109001,,10/22/1993,10/22/1993,,2003-10-20,.5,,B,2,,,,0,0,
Linden Cnty Water District,"Po Box 595, Linden, CA 95236",Linden Co Water Dist WWTF,"18243 Hwy 26, Linden, CA 95236",38.01942,-121.06468,Wastewater Treatment Facility,4952,San Joaquin,5S,"WDR, WDRMUNIOTH",Active,WDR,89-177,5B390111001,,09/22/1989,09/22/1989,,1999-09-18,.22,,B,2,,,,0,0,
San Joaquin Cnty Housing Authority,"Po Box 447, Stockton, CA 95201",Thornton Farm Labor Camp,"26188 North Manor Drive, Thornton, CA 95686",38.21928,-121.42736,Wastewater Treatment Facility,6514,San Joaquin,5S,"WDR, WDRMUNILRG",Active,WDR,94-101,5B390112001,,04/22/1994,04/22/1994,,2004-09-13,.115,,B,2,,,,0,0,
"US Dept of Defense, Defense Logistics Agency","Po Box 960001, Stockton, CA 95296-0250","DDJC, Tracy - WWTP, Stormwater","25600 North Chrisman Road, Tracy, CA 95304",37.7221,-121.39726,Wastewater Treatment Facility,9711,San Joaquin,5S,WDRMUNILRG,Active,WDR,96-122,5B390701004,,05/03/1996,05/03/1996,,2011-05-02,.5,,B,3,,,,0,0,
San Joaquin Cnty,"Po Box 1810, Stockton, CA 95201",CSA 15 - STP,"4327 Waterloo Road, Stockton, CA 95215",37.99875,-121.25142,Wastewater Treatment Facility,4952,San Joaquin,5S,"WDR, WDRMUNILRG",Active,WDR,94-264,5B391008002,,09/16/1994,09/16/1994,,2004-09-13,.125,,B,2,,,,0,0,
Oakwood Lake Water District,"Po Box 240, Salida, CA 95368",Oakwood Lake WWTF,"874 East Woodward Avenue, Manteca, CA 95337",37.775257,-121.28854,Wastewater Treatment Facility,4952,San Joaquin,5S,WDRMUNIOTH,Active,WDR,R5-2006-0114-002,5B391070001,,10/26/2006,10/26/2006,,2026-10-26,.015,,B,2,,,,0,0,
Mountain House City,"251 East Main Street, Mountain House, CA 95391",Mountain House WWTP,"251 East Mountain House Road, Mountain House, CA 95391",37.785348,-121.51968,Wastewater Treatment Facility,4952,San Joaquin,5S,NPDMUNILRG,Active,NPDES Permit,R5-2023-0033,5B391078003,CA0084271,06/22/2023,08/01/2023,,2028-07-31,3.0,Major,A,1,,,,11,84,
San Joaquin Cnty,"Po Box 1810, Stockton, CA 95201",CSA 44-Zone G (Linne),"7701 West Bates Road, Tracy, CA 95304",37.70561,-121.40077,Wastewater Treatment Facility,4952,San Joaquin,5S,WDRMUNIOTH,Active,Enrollee - WDR,2014-0153-DWQ,5B39NC00035,,,05/03/2018,,2029-09-23,,,B,2,,,,0,0,
Leprino Foods Company,"Po Box 173400, Denver, CO 80217-2200",Tracy WWTP,"3900 Holly Drive, Tracy, CA 95304",37.76519,-121.42489,Wastewater Treatment Facility,4952,San Joaquin,5S,WDRMUNILRG,Active,WDR,R5-2007-0038,5B39NC00164,,05/04/2007,05/04/2007,,2012-05-04,16,,A,1,,,,12,39,
Lathrop City,"390 Towne Centre Drive, Lathrop, CA 95330",City of Lathrop Consolidated Treatment Facility,"18800 Christopher Way, Lathrop, CA 95330",37.79504,-121.28658,Wastewater Treatment Facility,4952,San Joaquin,5S,"NPDMUNILRG, REC, SLIC, WDRMUNILRG",Active,NPDES Permit,R5-2022-0004,5B39NP00085,CA0085359,02/17/2022,04/01/2022,,2027-03-31,2.5,Major,A,1,,,,8,41,
Patterson City,"33 South Del Puerto Avenue, Patterson, CA 95363",City of Patterson WQCF,"14901 Poplar Avenue, Patterson, CA 95363",37.49636,-121.09183,Wastewater Treatment Facility,4952,Stanislaus,SB,"NPDMUNILRG, SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,5B50NC00002,,,07/09/2020,,,,Major,,,,,,2,3,
Modesto City,"Po Box 642, Modesto, CA 95353",North Valley Regional Recycled Water Program - Modesto WWTP & Turlock RWQCF,"1221 Sutter Avenue, Modesto, CA 95351",37.61373,-121.01177,Wastewater Treatment Facility,4952,Stanislaus,5S,NPDMUNILRG,Active,NPDES Permit,R5-2022-0034,5B50NP00031,CA0085316,06/10/2022,08/01/2022,,2027-07-31,20,Major,A,1,,,,13,61,
San Francisco City & County,"Po Box 160, Moccasin, CA 95347-0160",Early Intake Wastewater System,"Cherry Oil, Groveland, CA 95321",37.96604,-119.92504,Wastewater Treatment Facility,4952,Tuolumne,5F,WDRMUNIOTH,Active,WDR,01-274,5B55NC00003,,12/07/2001,12/07/2001,,2011-12-07,.005,,C,2,,,,0,0,
Tuolumne Utilities District,"Po Box 372844, Sonora, CA 95370",Twain Harte WWTP,"22363 Longeway Road, Twain Harte, CA 95370",38.030985,-120.256779,Wastewater Treatment Facility,4952,Tuolumne,5F,WDRMUNILRG,Active,WDR,86-021,5B55NC00004,,01/24/1986,01/24/1986,,2001-01-24,.5,,B,3,,,,0,0,
San Francisco City & County,"Po Box 160, Moccasin, CA 95347-0160",Camp Mather,"35250 Mather Road, Groveland, CA 95321",37.88242,-119.85573,Wastewater Treatment Facility,703,Tuolumne,5F,WDRMUNIOTH,Active,Enrollee - WDR,2014-0153-DWQ,5B55NC00011,,,08/19/2019,,2033-08-19,.02,,C,3,,,,0,0,
Firebaugh City,"1575 Eleventh Street, Firebaugh, CA 93622",Firebaugh WWTF,"8000 Helm Canal Road, Firebaugh, CA 93622",36.839007,-120.437363,Wastewater Treatment Facility,4952,Fresno,5F,WDRMUNILRG,Active,WDR,98-230,5C100103001,,12/11/1998,12/11/1998,,2008-12-08,.5,,A,2,,,,1,46,
County of Fresno,"2220 Tulare Street 6th Floor, Fresno, CA 93721",Fresno Cnty #38-Sky Harbour WWTF,"Sky Harbor, Friant, CA 93626",37.03561111,-119.6515556,Wastewater Treatment Facility,4952,Fresno,5F,"WDRMUNIENROTH, WDRMUNIOTH",Active,Enrollee - WDR,97-010-DWQ,5C100106001,,,09/04/2014,,2029-09-04,0.095,,B,3,,,,0,0,
County of Fresno,"2220 Tulare Street 6th Floor, Fresno, CA 93721",Fresno Cnty #41-Shaver Lake WWTF,"Solitude, Shaver Lake, CA 93664",37.08325,-119.3446389,Wastewater Treatment Facility,4952,Fresno,5F,WDRMUNILRG,Active,WDR,95-264,5C100106002,,12/08/1995,12/08/1995,,2005-12-05,1.46,,A,2,,,,2,1,
County of Fresno,"2220 Tulare Street 6th Floor, Fresno, CA 93721",Fresno Cnty #34-Millerton New Town WWTF,"Brighton Crest, Friant, CA 93626",36.97347222,-119.6657222,Wastewater Treatment Facility,4952,Fresno,5F,WDRMUNILRG,Active,WDR,R5-2008-0127,5C100106003,,07/31/2008,07/31/2008,,2018-07-31,.709,,B,2,,,,0,0,
County of Fresno,"2220 Tulare Street 6th Floor, Fresno, CA 93721",Fresno Cnty #31B-Shaver Lake WWTF,"39360 Solitude Lane, Shaver Lake, CA 93664",37.08325,-119.3446389,Wastewater Treatment Facility,4952,Fresno,5F,WDRMUNILRG,Active,WDR,95-263,5C100106004,,12/08/1995,12/08/1995,,2005-12-05,.23,,A,2,,,,1,1,
Ca Dept of Parks & Rec Sacramento,"Po Box 942896, Sacramento, CA 95814",Millerton Lake State Rec Area,"5290 Millerton Road, Friant, CA 93626",36.98595,-119.69037,Wastewater Treatment Facility,7999,Fresno,5F,WDRMUNIOTH,Active,Enrollee - WDR,2014-0153-DWQ,5C100800001,,,03/26/2019,,2029-09-23,0.00283,,C,3,,,,0,0,
Sierra Unified School District,"31975 Lodge Road, Auberry, CA 93602",Sierra High School WWTF,"33326 Lodge, Tollhouse, CA 93667",37.03762,-119.45378,Wastewater Treatment Facility,4952(+),Fresno,5F,WDRMUNIOTH,Active,Enrollee - WDR,2014-0153-DWQ,5C101003001,,,08/28/2019,,2029-09-23,.020,,B,3,,,,1,7,
Huntington Pines Mutual Water Company,"125 East Barstow Avenue 109, Fresno, CA 93710",Huntington Pines Mutual Water Company,"62640 Old College Lane, Lakeshore, CA 93664",37.25302,-119.16708,Wastewater Treatment Facility,6552,Fresno,5F,WDRMUNIOTH,Active,WDR,86-133,5C101005001,,06/27/1986,06/27/1986,,2001-06-24,.044,,B,3,,,,1,65,
County of Fresno,"2220 Tulare Street 6th Floor, Fresno, CA 93721",Fresno Cnty #1-Tamarack Estates WWTF,"Big Creek, CA 93605",37.19918,-119.20104,Wastewater Treatment Facility,6552,Fresno,5F,"WDRMUNIENROTH, WDRMUNIOTH",Active,Enrollee - WDR,97-010-DWQ,5C101012001,,,01/05/2012,,2027-01-05,.0075,,B,3,,,,0,0,
"3441 South Willow Investments, LP","4595 West Jacquelyn Avenue, Fresno, CA 93722",Canyon Fork WWTF,"Auberry & Morgan Canyon Rds, Prather, CA 93602",37.08078,-119.48541,Wastewater Treatment Facility,5812,Fresno,5F,WDRMUNIOTH,Active,WDR,95-165,5C101016001,,06/23/1995,06/23/1995,,2005-06-20,.06,,A,2,,,,0,82,
County of Fresno,"2220 Tulare Street 6th Floor, Fresno, CA 93721",Fresno Cnty #44A-Millerton Lake MHV WWTF,"Southwest corner of Parker St and Countryside Ln, Friant, CA 93626",36.982595,-119.71424,Wastewater Treatment Facility,6515,Fresno,5F,WDRMUNIOTH,Active,Enrollee - WDR,2014-0153-DWQ,5C101017001,,,09/02/2021,,2029-09-23,.0225,,C,3,,,,0,0,
Sierra Unified School District,"31975 Lodge Road, Auberry, CA 93602",Foothill Elementary School WWTF,"Auberry, Prather, CA 93611",37.03695,-119.51967,Wastewater Treatment Facility,4952(+),Fresno,5F,WDRMUNIOTH,Active,Enrollee - WDR,2014-0153-DWQ,5C101109001,,,07/03/2020,,2029-09-23,0.015,,B,2,,,,0,0,
Southern California Edison,"2244 Walnut Grove Avenue, Rosemead, CA 91770",Big Creek Powerhouse No 1 WWTF,"Spruce Avenue, Big Creek, CA 93605",37.202222,-119.243889,Wastewater Treatment Facility,4952,Fresno,5F,"NPDMUNIOTH, WDRMUNIENROTH",Active,Enrollee - WDR,2014-0153-DWQ,5C102009001,CA0079545,,07/06/2015,,2020-07-06,.023,Minor,C,3,,,,0,0,
Ca Dept of Mental Health,"1600 9th Street 250, Sacramento, CA 95814",Coalinga State Hospital WWTF,"West Jayne Avenue, Coalinga, CA 93210",36.13729,-120.23248,Wastewater Treatment Facility,8063(+),Fresno,5F,WDRMUNILRG,Active,WDR,R5-2013-0055,5C10NC00045,,05/31/2013,05/31/2013,,2023-05-31,0.4,,B,2,,,,1,72,
Reedley City,"845 G Street, Reedley, CA 93654",Reedley WWTF,"1701 West Huntsman, Reedley, CA 93654",36.58189,-119.46542,Wastewater Treatment Facility,4952,Fresno,SB,"NPDMUNILRG, SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,5C10NC00167,,,07/09/2020,,,,Major,,,,,,0,24,
"Family Ranch, Inc.","Po Box 880, Huron, CA 93234","Family Ranch, Inc.","15015 West Jayne Avenue, Huron, CA 93234",36.13789,-120.07538,Wastewater Treatment Facility,4952,Fresno,5F,WDRMUNIOTH,Active,Enrollee - WDR,2014-0153-DWQ,5C10NC00192,,,04/27/2015,,2025-04-27,.00216,,C,3,,,,0,0,
Greek Orthodox Monestery of the Theotokos,"Po Box 549, Dunlap, CA 93621","Greek Orthodox Monestery of the Theotokos, The Life Giving Spring","38532 Dunlap Road, Dunlap, CA 93675",36.7421,-119.13418,Wastewater Treatment Facility,,Fresno,5F,WDRMUNIOTH,Active,Enrollee - WDR,2014-0153-DWQ,5C10NC00195,,,06/19/2015,,2025-06-19,.009,,C,3,,,,0,0,
Pilot Travel Centers LLC,"5508 Lonas Road, Knoxville, TN 37909",EZ Trip 1277,"44779 South Lassen Avenue, Avenal, CA",36.07474,-120.10347,Wastewater Treatment Facility,,Fresno,5F,WDRMUNIOTH,Active,Enrollee - WDR,2014-0153-DWQ,5C10NC00203,,03/09/2018,03/09/2018,,2033-03-09,0.015,,C,3,,,,0,0,
Clovis City,"908 Villa Avenue, Clovis, CA 93612",Clovis WWTF,"9700 East Ashlan Avenue, Clovis, CA 93619",36.79481,-119.61455,Wastewater Treatment Facility,,Fresno,5F,"NPDMUNILRG, SLIC",Active,NPDES Permit,R5-2024-0036,5C10NP00012,CA0085235,06/21/2024,08/01/2024,,2029-07-31,2.8,Major,B,2,,,,2,37,
Ca Dept of Corrections & Rehabilitation,"9838 Old Placerville Road B, Sacramento, CA 95827",Kern Valley State Prison WWTF,"3000 West Cecil Avenue, Delano, CA 93215",35.76656,-119.31754,Wastewater Treatment Facility,4952(+),Kern,5F,WDRMUNILRG,Active,WDR,R5-2007-0090,5C15NC00056,,06/22/2007,06/22/2007,,2017-06-22,0.77,,A,2,,,,0,1,
North of River SD #1,"5001 Olive Drive, Bakersfield, CA 93308",North of River WWTF,"28970 7th Standard Road, Shafter, CA 93264",35.452888,-119.345684,Wastewater Treatment Facility,4952,Kern,SB,"SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,5C15NC00090,,,07/09/2020,,,,,,,,,,0,0,
Taft City,"Po Box 413, Taft, CA 93268",Taft WWTF,"Airport, Taft, CA 93268",35.15011,-119.42701,Wastewater Treatment Facility,4952,Kern,SB,"NPDESWW, NPDMUNIOTH, SLIC, WDRMUNILRG",Active,Co-Permitee,2020-0015-DWQ,5C15NC00095,,,07/09/2020,,,,Minor,,,,,,0,70,
Tejon Castac Water District,,Tejon Industrial Complex East WWTF,"Near Wheeler Ridge road and 1st Street, Lebec, CA 93243",34.84164,-118.86482,Wastewater Treatment Facility,4952,Kern,5F,WDRMUNILRG,Active,WDR,R5-2011-0066,5C15NC00128,,10/13/2011,10/13/2011,,2021-10-13,0.2,,B,2,,,,0,0,
CA Dept of Trans D6 Fresno,"2015 East Shields Avenue 100, Fresno, CA 93726-5428",Buttonwillow Safety Roadside Rest Area,"Interstate 5, Post Mile R54.1, Buttonwillow, CA 93206",35.41857,-119.42225,Wastewater Treatment Facility,4952,Kern,5F,WDRMUNIOTH,Active,Enrollee - WDR,2014-0153-DWQ,5C15NC00218,,,08/28/2017,,2032-08-30,.005,,C,3,,,,0,0,
Tejon Castac Water District,,Tejon Mountain Village,"1401 Crane Canyon, Lebec, CA 93243",34.82881,-118.8565,Wastewater Treatment Facility,,Kern,5F,WDRMUNILRG,Active,WDR,R5-2019-0085,5C15NC00247,,12/06/2019,12/06/2019,,2029-12-06,,,B,2,,,,0,0,
